SKUID,WarehouseID,DemandShare
SKU121,WH002,0.13628637136286373
SKU121,WH003,0.2987701229877012
SKU121,WH004,0.13908609139086092
SKU121,WH005,0.048595140485951406
SKU121,WH006,0.036096390360963904
SKU121,WH007,0.08979102089791022
SKU121,WH008,0.051594840515948405
SKU122,WH001,0.07779222077792218
SKU122,WH002,0.09879012098790119
SKU122,WH003,0.0858914108589141
SKU122,WH004,0.2080791920807919
SKU122,WH005,0.07439256074392558
SKU122,WH006,0.05709429057094289
SKU122,WH007,0.031696830316968294
SKU122,WH008,0.3662633736626337
SKU123,WH001,0.1314
SKU123,WH002,0.1926
SKU123,WH003,0.2057
SKU123,WH004,0.0402
SKU123,WH005,0.1497
SKU123,WH006,0.1454
SKU123,WH007,0.0414
SKU123,WH008,0.0936
SKU124,WH001,0.09299070092990701
SKU124,WH002,0.11778822117788222
SKU124,WH003,0.32436756324367566
SKU124,WH004,0.23587641235876414
SKU124,WH005,0.063993600639936
SKU124,WH006,0.07219278072192781
SKU124,WH007,0.058194180581941805
SKU124,WH008,0.034596540345965404
SKU125,WH001,0.16410000000000002
SKU125,WH002,0.20920000000000002
SKU125,WH003,0.060000000000000005
SKU125,WH004,0.053000000000000005
SKU125,WH005,0.06530000000000001
SKU125,WH006,0.008200000000000002
SKU125,WH007,0.11490000000000002
SKU125,WH008,0.32530000000000003
SKU126,WH001,0.14488551144885511
SKU126,WH002,0.04879512048795121
SKU126,WH003,0.14488551144885511
SKU126,WH004,0.21707829217078292
SKU126,WH005,0.11438856114388561
SKU126,WH006,0.0632936706329367
SKU126,WH007,0.13898610138986103
SKU126,WH008,0.12768723127687232
SKU127,WH001,0.1216
SKU127,WH002,0.1878
SKU127,WH003,0.0495
SKU127,WH004,0.0855
SKU127,WH005,0.111
SKU127,WH006,0.154
SKU127,WH007,0.1028
SKU127,WH008,0.1878
SKU128,WH001,0.1185
SKU128,WH002,0.021
SKU128,WH003,0.2595
SKU128,WH004,0.0584
SKU128,WH005,0.2115
SKU128,WH006,0.2558
SKU128,WH007,0.0517
SKU128,WH008,0.0236
SKU129,WH001,0.1275872412758724
SKU129,WH002,0.10288971102889712
SKU129,WH003,0.24647535246475352
SKU129,WH004,0.0040995900409959
SKU129,WH005,0.21507849215078495
SKU129,WH006,0.09169083091690831
SKU129,WH007,0.04129587041295871
SKU129,WH008,0.1708829117088291
