MO,Date,FactoryID,SKUID,Qty
MO002SKU122,2025-01-03,FAC005,SKU122,168
MO002SKU123,2025-01-03,FAC006,SKU123,277
MO002SKU124,2025-01-03,FAC002,SKU124,237
MO002SKU125,2025-01-03,FAC006,SKU125,330
MO002SKU126,2025-01-03,FAC004,SKU126,281
MO002SKU127,2025-01-03,FAC002,SKU127,419
MO002SKU128,2025-01-03,FAC001,SKU128,165
MO002SKU129,2025-01-03,FAC002,SKU129,91
MO003SKU100,2025-01-04,FAC004,SKU100,282
MO003SKU101,2025-01-04,FAC001,SKU101,341
MO003SKU102,2025-01-04,FAC003,SKU102,195
MO003SKU103,2025-01-04,FAC003,SKU103,161
MO003SKU104,2025-01-04,FAC005,SKU104,494
MO003SKU105,2025-01-04,FAC005,SKU105,131
MO003SKU106,2025-01-04,FAC004,SKU106,190
MO003SKU107,2025-01-04,FAC005,SKU107,369
MO003SKU108,2025-01-04,FAC006,SKU108,470
MO003SKU109,2025-01-04,FAC001,SKU109,220
MO003SKU110,2025-01-04,FAC005,SKU110,420
MO003SKU111,2025-01-04,FAC006,SKU111,456
MO003SKU112,2025-01-04,FAC006,SKU112,239
MO003SKU113,2025-01-04,FAC003,SKU113,262
MO003SKU114,2025-01-04,FAC006,SKU114,185
MO003SKU115,2025-01-04,FAC002,SKU115,293
MO003SKU116,2025-01-04,FAC005,SKU116,404
MO003SKU117,2025-01-04,FAC002,SKU117,87
MO003SKU118,2025-01-04,FAC006,SKU118,482
MO003SKU119,2025-01-04,FAC006,SKU119,311
MO003SKU120,2025-01-04,FAC006,SKU120,331
MO003SKU121,2025-01-04,FAC005,SKU121,439
MO003SKU122,2025-01-04,FAC001,SKU122,436
MO003SKU123,2025-01-04,FAC003,SKU123,458
MO003SKU124,2025-01-04,FAC001,SKU124,474
MO003SKU125,2025-01-04,FAC005,SKU125,239
MO003SKU126,2025-01-04,FAC004,SKU126,509
MO003SKU127,2025-01-04,FAC006,SKU127,426
MO003SKU128,2025-01-04,FAC002,SKU128,265
MO003SKU129,2025-01-04,FAC001,SKU129,444
MO004SKU100,2025-01-05,FAC005,SKU100,498
MO004SKU101,2025-01-05,FAC004,SKU101,481
MO004SKU102,2025-01-05,FAC002,SKU102,387
MO004SKU103,2025-01-05,FAC002,SKU103,356
MO004SKU104,2025-01-05,FAC005,SKU104,417
MO004SKU105,2025-01-05,FAC004,SKU105,384
MO004SKU106,2025-01-05,FAC003,SKU106,446
MO004SKU107,2025-01-05,FAC001,SKU107,231
MO004SKU108,2025-01-05,FAC006,SKU108,146
MO004SKU109,2025-01-05,FAC004,SKU109,447
MO004SKU110,2025-01-05,FAC004,SKU110,232
MO004SKU111,2025-01-05,FAC004,SKU111,222
MO004SKU112,2025-01-05,FAC006,SKU112,455
MO004SKU113,2025-01-05,FAC004,SKU113,451
MO004SKU114,2025-01-05,FAC004,SKU114,294
MO004SKU115,2025-01-05,FAC006,SKU115,308
MO004SKU116,2025-01-05,FAC002,SKU116,500
MO004SKU117,2025-01-05,FAC004,SKU117,173
MO004SKU118,2025-01-05,FAC006,SKU118,310
MO004SKU119,2025-01-05,FAC004,SKU119,325
MO004SKU120,2025-01-05,FAC005,SKU120,126
MO004SKU121,2025-01-05,FAC006,SKU121,262
MO004SKU122,2025-01-05,FAC002,SKU122,157
MO004SKU123,2025-01-05,FAC003,SKU123,320
MO004SKU124,2025-01-05,FAC003,SKU124,248
MO004SKU125,2025-01-05,FAC003,SKU125,497
MO004SKU126,2025-01-05,FAC001,SKU126,305
MO004SKU127,2025-01-05,FAC001,SKU127,129
MO004SKU128,2025-01-05,FAC001,SKU128,288
MO004SKU129,2025-01-05,FAC001,SKU129,453
MO005SKU100,2025-01-06,FAC006,SKU100,190
MO005SKU101,2025-01-06,FAC002,SKU101,137
MO005SKU102,2025-01-06,FAC003,SKU102,151
MO005SKU103,2025-01-06,FAC004,SKU103,431
MO005SKU104,2025-01-06,FAC005,SKU104,470
MO005SKU105,2025-01-06,FAC006,SKU105,430
MO005SKU106,2025-01-06,FAC005,SKU106,265
MO005SKU107,2025-01-06,FAC005,SKU107,171
MO005SKU108,2025-01-06,FAC004,SKU108,123
MO005SKU109,2025-01-06,FAC006,SKU109,270
MO005SKU110,2025-01-06,FAC004,SKU110,72
MO005SKU111,2025-01-06,FAC006,SKU111,338
MO005SKU112,2025-01-06,FAC004,SKU112,306
MO005SKU113,2025-01-06,FAC006,SKU113,452
MO005SKU114,2025-01-06,FAC005,SKU114,424
MO005SKU115,2025-01-06,FAC006,SKU115,344
MO005SKU116,2025-01-06,FAC002,SKU116,250
MO005SKU117,2025-01-06,FAC004,SKU117,119
MO005SKU118,2025-01-06,FAC005,SKU118,486
MO005SKU119,2025-01-06,FAC004,SKU119,308
MO005SKU120,2025-01-06,FAC002,SKU120,248
MO005SKU121,2025-01-06,FAC003,SKU121,524
MO005SKU122,2025-01-06,FAC003,SKU122,400
MO005SKU123,2025-01-06,FAC002,SKU123,70
MO005SKU124,2025-01-06,FAC004,SKU124,218
MO005SKU125,2025-01-06,FAC004,SKU125,489
MO005SKU126,2025-01-06,FAC001,SKU126,429
MO005SKU127,2025-01-06,FAC006,SKU127,225
MO005SKU128,2025-01-06,FAC003,SKU128,246
MO005SKU129,2025-01-06,FAC004,SKU129,390
MO006SKU100,2025-01-07,FAC006,SKU100,475
MO006SKU101,2025-01-07,FAC003,SKU101,455
MO006SKU102,2025-01-07,FAC003,SKU102,170
MO006SKU103,2025-01-07,FAC005,SKU103,222
MO006SKU104,2025-01-07,FAC001,SKU104,235
MO006SKU105,2025-01-07,FAC002,SKU105,249
MO006SKU106,2025-01-07,FAC001,SKU106,481
MO006SKU107,2025-01-07,FAC004,SKU107,226
MO006SKU108,2025-01-07,FAC003,SKU108,214
MO006SKU109,2025-01-07,FAC001,SKU109,329
MO006SKU110,2025-01-07,FAC006,SKU110,354
MO006SKU111,2025-01-07,FAC005,SKU111,147
MO006SKU112,2025-01-07,FAC002,SKU112,222
MO006SKU113,2025-01-07,FAC005,SKU113,383
MO006SKU114,2025-01-07,FAC005,SKU114,488
MO006SKU115,2025-01-07,FAC003,SKU115,345
MO006SKU116,2025-01-07,FAC003,SKU116,397
MO006SKU117,2025-01-07,FAC006,SKU117,383
MO006SKU118,2025-01-07,FAC002,SKU118,466
MO006SKU119,2025-01-07,FAC002,SKU119,409
MO006SKU120,2025-01-07,FAC001,SKU120,368
MO006SKU121,2025-01-07,FAC004,SKU121,308
MO006SKU122,2025-01-07,FAC006,SKU122,94
MO006SKU123,2025-01-07,FAC001,SKU123,462
MO006SKU124,2025-01-07,FAC006,SKU124,216
MO006SKU125,2025-01-07,FAC002,SKU125,425
MO006SKU126,2025-01-07,FAC006,SKU126,127
MO006SKU127,2025-01-07,FAC001,SKU127,199
MO006SKU128,2025-01-07,FAC005,SKU128,191
MO006SKU129,2025-01-07,FAC004,SKU129,358
MO007SKU100,2025-01-08,FAC001,SKU100,383
MO007SKU101,2025-01-08,FAC005,SKU101,442
MO007SKU102,2025-01-08,FAC006,SKU102,122
MO007SKU103,2025-01-08,FAC002,SKU103,227
MO007SKU104,2025-01-08,FAC003,SKU104,336
MO007SKU105,2025-01-08,FAC004,SKU105,364
MO007SKU106,2025-01-08,FAC003,SKU106,320
MO007SKU107,2025-01-08,FAC002,SKU107,424
MO007SKU108,2025-01-08,FAC003,SKU108,312
MO007SKU109,2025-01-08,FAC005,SKU109,267
MO007SKU110,2025-01-08,FAC003,SKU110,312
MO007SKU111,2025-01-08,FAC004,SKU111,174
MO007SKU112,2025-01-08,FAC001,SKU112,365
MO007SKU113,2025-01-08,FAC001,SKU113,349
MO007SKU114,2025-01-08,FAC004,SKU114,365
MO007SKU115,2025-01-08,FAC002,SKU115,303
MO007SKU116,2025-01-08,FAC003,SKU116,369
MO007SKU117,2025-01-08,FAC001,SKU117,457
MO007SKU118,2025-01-08,FAC006,SKU118,381
MO007SKU119,2025-01-08,FAC005,SKU119,245
MO007SKU120,2025-01-08,FAC001,SKU120,136
MO007SKU121,2025-01-08,FAC002,SKU121,151
MO007SKU122,2025-01-08,FAC006,SKU122,443
MO007SKU123,2025-01-08,FAC004,SKU123,287
MO007SKU124,2025-01-08,FAC004,SKU124,305
MO007SKU125,2025-01-08,FAC002,SKU125,421
MO007SKU126,2025-01-08,FAC004,SKU126,116
MO007SKU127,2025-01-08,FAC001,SKU127,481
MO007SKU128,2025-01-08,FAC005,SKU128,468
MO007SKU129,2025-01-08,FAC002,SKU129,425
MO008SKU100,2025-01-09,FAC004,SKU100,127
MO008SKU101,2025-01-09,FAC006,SKU101,525
MO008SKU102,2025-01-09,FAC002,SKU102,511
MO008SKU103,2025-01-09,FAC005,SKU103,99
MO008SKU104,2025-01-09,FAC004,SKU104,117
MO008SKU105,2025-01-09,FAC001,SKU105,375
MO008SKU106,2025-01-09,FAC006,SKU106,142
MO008SKU107,2025-01-09,FAC003,SKU107,119
MO008SKU108,2025-01-09,FAC006,SKU108,384
MO008SKU109,2025-01-09,FAC005,SKU109,252
MO008SKU110,2025-01-09,FAC004,SKU110,277
MO008SKU111,2025-01-09,FAC001,SKU111,352
MO008SKU112,2025-01-09,FAC003,SKU112,397
MO008SKU113,2025-01-09,FAC001,SKU113,490
MO008SKU114,2025-01-09,FAC001,SKU114,412
MO008SKU115,2025-01-09,FAC001,SKU115,147
MO008SKU116,2025-01-09,FAC003,SKU116,248
MO008SKU117,2025-01-09,FAC002,SKU117,284
MO008SKU118,2025-01-09,FAC002,SKU118,280
MO008SKU119,2025-01-09,FAC004,SKU119,188
MO008SKU120,2025-01-09,FAC005,SKU120,418
MO008SKU121,2025-01-09,FAC003,SKU121,207
MO008SKU122,2025-01-09,FAC004,SKU122,247
MO008SKU123,2025-01-09,FAC002,SKU123,211
MO008SKU124,2025-01-09,FAC005,SKU124,305
MO008SKU125,2025-01-09,FAC006,SKU125,403
MO008SKU126,2025-01-09,FAC002,SKU126,317
MO008SKU127,2025-01-09,FAC004,SKU127,343
MO008SKU128,2025-01-09,FAC006,SKU128,261
MO008SKU129,2025-01-09,FAC006,SKU129,96
MO009SKU100,2025-01-10,FAC006,SKU100,450
MO009SKU101,2025-01-10,FAC006,SKU101,171
MO009SKU102,2025-01-10,FAC004,SKU102,82
MO009SKU103,2025-01-10,FAC002,SKU103,361
MO009SKU104,2025-01-10,FAC004,SKU104,222
MO009SKU105,2025-01-10,FAC005,SKU105,218
MO009SKU106,2025-01-10,FAC003,SKU106,300
MO009SKU107,2025-01-10,FAC004,SKU107,195
MO009SKU108,2025-01-10,FAC003,SKU108,262
MO009SKU109,2025-01-10,FAC001,SKU109,127
MO009SKU110,2025-01-10,FAC006,SKU110,492
MO009SKU111,2025-01-10,FAC005,SKU111,428
MO009SKU112,2025-01-10,FAC001,SKU112,122
MO009SKU113,2025-01-10,FAC003,SKU113,377
MO009SKU114,2025-01-10,FAC005,SKU114,467
MO009SKU115,2025-01-10,FAC001,SKU115,429
MO009SKU116,2025-01-10,FAC005,SKU116,235
MO009SKU117,2025-01-10,FAC005,SKU117,361
MO009SKU118,2025-01-10,FAC004,SKU118,449
MO009SKU119,2025-01-10,FAC004,SKU119,425
MO009SKU120,2025-01-10,FAC001,SKU120,150
MO009SKU121,2025-01-10,FAC002,SKU121,368
MO009SKU122,2025-01-10,FAC004,SKU122,358
MO009SKU123,2025-01-10,FAC006,SKU123,463
MO009SKU124,2025-01-10,FAC006,SKU124,382
MO009SKU125,2025-01-10,FAC006,SKU125,145
MO009SKU126,2025-01-10,FAC003,SKU126,312
MO009SKU127,2025-01-10,FAC004,SKU127,441
MO009SKU128,2025-01-10,FAC001,SKU128,223
MO009SKU129,2025-01-10,FAC006,SKU129,270
MO010SKU100,2025-01-11,FAC005,SKU100,108
MO010SKU101,2025-01-11,FAC002,SKU101,381
MO010SKU102,2025-01-11,FAC005,SKU102,456
MO010SKU103,2025-01-11,FAC002,SKU103,209
MO010SKU104,2025-01-11,FAC002,SKU104,343
MO010SKU105,2025-01-11,FAC002,SKU105,398
MO010SKU106,2025-01-11,FAC002,SKU106,280
MO010SKU107,2025-01-11,FAC003,SKU107,228
MO010SKU108,2025-01-11,FAC005,SKU108,131
MO010SKU109,2025-01-11,FAC004,SKU109,490
MO010SKU110,2025-01-11,FAC001,SKU110,273
MO010SKU111,2025-01-11,FAC005,SKU111,319
MO010SKU112,2025-01-11,FAC006,SKU112,465
MO010SKU113,2025-01-11,FAC001,SKU113,217
MO010SKU114,2025-01-11,FAC004,SKU114,348
MO010SKU115,2025-01-11,FAC004,SKU115,119
MO010SKU116,2025-01-11,FAC002,SKU116,105
MO010SKU117,2025-01-11,FAC006,SKU117,161
MO010SKU118,2025-01-11,FAC004,SKU118,378
MO010SKU119,2025-01-11,FAC005,SKU119,369
MO010SKU120,2025-01-11,FAC006,SKU120,287
MO010SKU121,2025-01-11,FAC005,SKU121,441
MO010SKU122,2025-01-11,FAC002,SKU122,196
MO010SKU123,2025-01-11,FAC004,SKU123,259
MO010SKU124,2025-01-11,FAC004,SKU124,453
MO010SKU125,2025-01-11,FAC002,SKU125,443
MO010SKU126,2025-01-11,FAC001,SKU126,307
MO010SKU127,2025-01-11,FAC006,SKU127,304
MO010SKU128,2025-01-11,FAC001,SKU128,512
MO010SKU129,2025-01-11,FAC006,SKU129,354
MO011SKU100,2025-01-12,FAC003,SKU100,228
MO011SKU101,2025-01-12,FAC003,SKU101,380
MO011SKU102,2025-01-12,FAC005,SKU102,224
MO011SKU103,2025-01-12,FAC006,SKU103,520
MO011SKU104,2025-01-12,FAC006,SKU104,398
MO011SKU105,2025-01-12,FAC002,SKU105,432
MO011SKU106,2025-01-12,FAC003,SKU106,441
MO011SKU107,2025-01-12,FAC002,SKU107,99
MO011SKU108,2025-01-12,FAC002,SKU108,443
MO011SKU109,2025-01-12,FAC001,SKU109,431
MO011SKU110,2025-01-12,FAC004,SKU110,360
MO011SKU111,2025-01-12,FAC003,SKU111,280
MO011SKU112,2025-01-12,FAC005,SKU112,264
MO011SKU113,2025-01-12,FAC002,SKU113,113
MO011SKU114,2025-01-12,FAC006,SKU114,451
MO011SKU115,2025-01-12,FAC004,SKU115,230
MO011SKU116,2025-01-12,FAC003,SKU116,383
MO011SKU117,2025-01-12,FAC003,SKU117,473
MO011SKU118,2025-01-12,FAC006,SKU118,153
MO011SKU119,2025-01-12,FAC003,SKU119,311
MO011SKU120,2025-01-12,FAC005,SKU120,175
MO011SKU121,2025-01-12,FAC002,SKU121,112
MO011SKU122,2025-01-12,FAC003,SKU122,150
MO011SKU123,2025-01-12,FAC006,SKU123,148
MO011SKU124,2025-01-12,FAC005,SKU124,194
MO011SKU125,2025-01-12,FAC006,SKU125,228
MO011SKU126,2025-01-12,FAC006,SKU126,243
MO011SKU127,2025-01-12,FAC001,SKU127,338
MO011SKU128,2025-01-12,FAC005,SKU128,245
MO011SKU129,2025-01-12,FAC003,SKU129,430
MO012SKU100,2025-01-13,FAC003,SKU100,375
MO012SKU101,2025-01-13,FAC002,SKU101,237
MO012SKU102,2025-01-13,FAC005,SKU102,353
MO012SKU103,2025-01-13,FAC003,SKU103,181
MO012SKU104,2025-01-13,FAC006,SKU104,484
MO012SKU105,2025-01-13,FAC002,SKU105,151
MO012SKU106,2025-01-13,FAC002,SKU106,209
MO012SKU107,2025-01-13,FAC002,SKU107,508
MO012SKU108,2025-01-13,FAC004,SKU108,503
MO012SKU109,2025-01-13,FAC004,SKU109,391
MO012SKU110,2025-01-13,FAC005,SKU110,369
MO012SKU111,2025-01-13,FAC004,SKU111,385
MO012SKU112,2025-01-13,FAC003,SKU112,350
MO012SKU113,2025-01-13,FAC003,SKU113,232
MO012SKU114,2025-01-13,FAC004,SKU114,99
MO012SKU115,2025-01-13,FAC003,SKU115,93
MO012SKU116,2025-01-13,FAC001,SKU116,429
MO012SKU117,2025-01-13,FAC004,SKU117,401
MO012SKU118,2025-01-13,FAC006,SKU118,400
MO012SKU119,2025-01-13,FAC005,SKU119,122
MO012SKU120,2025-01-13,FAC004,SKU120,188
MO012SKU121,2025-01-13,FAC004,SKU121,143
MO012SKU122,2025-01-13,FAC003,SKU122,520
MO012SKU123,2025-01-13,FAC002,SKU123,105
MO012SKU124,2025-01-13,FAC004,SKU124,219
MO012SKU125,2025-01-13,FAC003,SKU125,350
MO012SKU126,2025-01-13,FAC003,SKU126,247
MO012SKU127,2025-01-13,FAC006,SKU127,407
MO012SKU128,2025-01-13,FAC001,SKU128,266
MO012SKU129,2025-01-13,FAC003,SKU129,453
MO013SKU100,2025-01-14,FAC006,SKU100,529
MO013SKU101,2025-01-14,FAC005,SKU101,443
MO013SKU102,2025-01-14,FAC005,SKU102,413
MO013SKU103,2025-01-14,FAC002,SKU103,129
MO013SKU104,2025-01-14,FAC004,SKU104,181
MO013SKU105,2025-01-14,FAC002,SKU105,179
MO013SKU106,2025-01-14,FAC001,SKU106,243
MO013SKU107,2025-01-14,FAC006,SKU107,510
MO013SKU108,2025-01-14,FAC003,SKU108,385
MO013SKU109,2025-01-14,FAC005,SKU109,476
MO013SKU110,2025-01-14,FAC006,SKU110,187
MO013SKU111,2025-01-14,FAC002,SKU111,425
MO013SKU112,2025-01-14,FAC003,SKU112,327
MO013SKU113,2025-01-14,FAC004,SKU113,467
MO013SKU114,2025-01-14,FAC004,SKU114,219
MO013SKU115,2025-01-14,FAC004,SKU115,390
MO013SKU116,2025-01-14,FAC005,SKU116,187
MO013SKU117,2025-01-14,FAC004,SKU117,328
MO013SKU118,2025-01-14,FAC002,SKU118,382
MO013SKU119,2025-01-14,FAC002,SKU119,217
MO013SKU120,2025-01-14,FAC004,SKU120,243
MO013SKU121,2025-01-14,FAC001,SKU121,295
MO013SKU122,2025-01-14,FAC003,SKU122,329
MO013SKU123,2025-01-14,FAC004,SKU123,507
MO013SKU124,2025-01-14,FAC004,SKU124,327
MO013SKU125,2025-01-14,FAC003,SKU125,232
MO013SKU126,2025-01-14,FAC004,SKU126,105
MO013SKU127,2025-01-14,FAC001,SKU127,274
MO013SKU128,2025-01-14,FAC001,SKU128,227
MO013SKU129,2025-01-14,FAC002,SKU129,433
MO014SKU100,2025-01-15,FAC005,SKU100,373
MO014SKU101,2025-01-15,FAC003,SKU101,291
MO014SKU102,2025-01-15,FAC002,SKU102,240
MO014SKU103,2025-01-15,FAC004,SKU103,391
MO014SKU104,2025-01-15,FAC004,SKU104,154
MO014SKU105,2025-01-15,FAC005,SKU105,370
MO014SKU106,2025-01-15,FAC003,SKU106,210
MO014SKU107,2025-01-15,FAC002,SKU107,96
MO014SKU108,2025-01-15,FAC006,SKU108,278
MO014SKU109,2025-01-15,FAC001,SKU109,361
MO014SKU110,2025-01-15,FAC005,SKU110,373
MO014SKU111,2025-01-15,FAC004,SKU111,72
MO014SKU112,2025-01-15,FAC003,SKU112,401
MO014SKU113,2025-01-15,FAC001,SKU113,464
MO014SKU114,2025-01-15,FAC006,SKU114,189
MO014SKU115,2025-01-15,FAC003,SKU115,463
MO014SKU116,2025-01-15,FAC003,SKU116,134
MO014SKU117,2025-01-15,FAC006,SKU117,418
MO014SKU118,2025-01-15,FAC002,SKU118,467
MO014SKU119,2025-01-15,FAC004,SKU119,131
MO014SKU120,2025-01-15,FAC002,SKU120,266
MO014SKU121,2025-01-15,FAC003,SKU121,113
MO014SKU122,2025-01-15,FAC005,SKU122,293
MO014SKU123,2025-01-15,FAC006,SKU123,201
MO014SKU124,2025-01-15,FAC001,SKU124,261
MO014SKU125,2025-01-15,FAC001,SKU125,446
MO014SKU126,2025-01-15,FAC004,SKU126,295
MO014SKU127,2025-01-15,FAC004,SKU127,306
MO014SKU128,2025-01-15,FAC004,SKU128,178
MO014SKU129,2025-01-15,FAC001,SKU129,514
MO015SKU100,2025-01-16,FAC003,SKU100,173
MO015SKU101,2025-01-16,FAC003,SKU101,120
MO015SKU102,2025-01-16,FAC001,SKU102,286
MO015SKU103,2025-01-16,FAC003,SKU103,435
MO015SKU104,2025-01-16,FAC002,SKU104,530
MO015SKU105,2025-01-16,FAC005,SKU105,118
MO015SKU106,2025-01-16,FAC002,SKU106,464
MO015SKU107,2025-01-16,FAC003,SKU107,203
MO015SKU108,2025-01-16,FAC001,SKU108,294
MO015SKU109,2025-01-16,FAC003,SKU109,161
MO015SKU110,2025-01-16,FAC005,SKU110,295
MO015SKU111,2025-01-16,FAC003,SKU111,372
MO015SKU112,2025-01-16,FAC001,SKU112,203
MO015SKU113,2025-01-16,FAC005,SKU113,460
MO015SKU114,2025-01-16,FAC003,SKU114,392
MO015SKU115,2025-01-16,FAC005,SKU115,306
MO015SKU116,2025-01-16,FAC004,SKU116,427
MO015SKU117,2025-01-16,FAC001,SKU117,150
MO015SKU118,2025-01-16,FAC004,SKU118,153
MO015SKU119,2025-01-16,FAC003,SKU119,516
MO015SKU120,2025-01-16,FAC005,SKU120,271
MO015SKU121,2025-01-16,FAC002,SKU121,253
MO015SKU122,2025-01-16,FAC006,SKU122,434
MO015SKU123,2025-01-16,FAC002,SKU123,473
MO015SKU124,2025-01-16,FAC002,SKU124,212
MO015SKU125,2025-01-16,FAC005,SKU125,348
MO015SKU126,2025-01-16,FAC005,SKU126,256
MO015SKU127,2025-01-16,FAC001,SKU127,392
MO015SKU128,2025-01-16,FAC006,SKU128,293
MO015SKU129,2025-01-16,FAC004,SKU129,381
MO016SKU100,2025-01-17,FAC001,SKU100,334
MO016SKU101,2025-01-17,FAC003,SKU101,133
MO016SKU102,2025-01-17,FAC006,SKU102,156
MO016SKU103,2025-01-17,FAC005,SKU103,294
MO016SKU104,2025-01-17,FAC003,SKU104,217
MO016SKU105,2025-01-17,FAC003,SKU105,393
MO016SKU106,2025-01-17,FAC005,SKU106,385
MO016SKU107,2025-01-17,FAC005,SKU107,377
MO016SKU108,2025-01-17,FAC006,SKU108,396
MO016SKU109,2025-01-17,FAC003,SKU109,481
MO016SKU110,2025-01-17,FAC001,SKU110,353
MO016SKU111,2025-01-17,FAC005,SKU111,99
MO016SKU112,2025-01-17,FAC005,SKU112,419
MO016SKU113,2025-01-17,FAC004,SKU113,432
MO016SKU114,2025-01-17,FAC006,SKU114,400
MO016SKU115,2025-01-17,FAC006,SKU115,332
MO016SKU116,2025-01-17,FAC006,SKU116,215
MO016SKU117,2025-01-17,FAC004,SKU117,169
MO016SKU118,2025-01-17,FAC002,SKU118,184
MO016SKU119,2025-01-17,FAC003,SKU119,452
MO016SKU120,2025-01-17,FAC005,SKU120,161
MO016SKU121,2025-01-17,FAC004,SKU121,121
MO016SKU122,2025-01-17,FAC002,SKU122,202
MO016SKU123,2025-01-17,FAC004,SKU123,140
MO016SKU124,2025-01-17,FAC002,SKU124,427
MO016SKU125,2025-01-17,FAC006,SKU125,247
MO016SKU126,2025-01-17,FAC004,SKU126,189
MO016SKU127,2025-01-17,FAC003,SKU127,330
MO016SKU128,2025-01-17,FAC004,SKU128,103
MO016SKU129,2025-01-17,FAC002,SKU129,331
MO017SKU100,2025-01-18,FAC001,SKU100,476
MO017SKU101,2025-01-18,FAC002,SKU101,109
MO017SKU102,2025-01-18,FAC004,SKU102,375
MO017SKU103,2025-01-18,FAC003,SKU103,342
MO017SKU104,2025-01-18,FAC001,SKU104,387
MO017SKU105,2025-01-18,FAC003,SKU105,144
