ShipmentID,Origin,Destination,Mode,LeadTimeDays,Status,ShipDate,SKUID,Qty,ArrivalDate
SHP000021,Noida,Sao Paulo,Road,14,Delayed,2025-10-21,SKU123,112,2025-11-04
SHP000022,Chennai,Johannesburg,Road,5,Delayed,2025-07-01,SKU121,135,2025-07-06
SHP000023,Chennai,Chicago,Air,22,In Transit,2025-11-25,SKU106,221,2025-12-17
SHP000024,Chennai,Mumbai,Road,6,Delayed,2025-05-09,SKU111,121,2025-05-15
SHP000025,Chennai,Johannesburg,Sea,22,Delayed,2025-02-11,SKU111,97,2025-03-05
SHP000026,Chennai,Singapore,Air,2,Delivered,2025-12-02,SKU129,166,2025-12-04
SHP000027,Chennai,Chicago,Air,9,Delayed,2025-08-24,SKU128,104,2025-09-02
SHP000028,Zhengzhou,Sao Paulo,Sea,4,Delivered,2025-12-08,SKU100,192,2025-12-12
SHP000029,Ho Chi Minh City,Mumbai,Road,12,Delayed,2025-12-08,SKU107,205,2025-12-20
SHP000030,Bangkok,Rotterdam,Sea,6,Delivered,2025-12-08,SKU107,211,2025-12-14
SHP000031,Ho Chi Minh City,Singapore,Air,24,Delivered,2025-05-13,SKU116,221,2025-06-06
SHP000032,Shenzhen,Singapore,Sea,11,Delivered,2025-11-14,SKU101,171,2025-11-25
SHP000033,Chennai,Johannesburg,Sea,25,In Transit,2025-12-26,SKU124,112,2026-01-20
SHP000034,Ho Chi Minh City,Sydney,Sea,23,Delayed,2025-11-20,SKU100,196,2025-12-13
SHP000035,Ho Chi Minh City,Rotterdam,Road,3,Delayed,2025-09-10,SKU115,144,2025-09-13
SHP000036,Shenzhen,Chicago,Air,19,Delivered,2025-12-29,SKU121,170,2026-01-17
SHP000037,Chennai,Chicago,Sea,20,In Transit,2025-02-03,SKU107,130,2025-02-23
SHP000038,Noida,Rotterdam,Air,21,In Transit,2025-02-14,SKU124,218,2025-03-07
SHP000039,Shenzhen,Sao Paulo,Road,17,In Transit,2025-12-28,SKU108,171,2026-01-14
SHP000040,Noida,Johannesburg,Air,2,In Transit,2025-12-03,SKU119,198,2025-12-05
SHP000041,Chennai,Sao Paulo,Road,10,Delayed,2025-12-11,SKU102,149,2025-12-21
SHP000042,Bangkok,Chicago,Road,24,In Transit,2025-01-27,SKU121,207,2025-02-20
SHP000043,Shenzhen,Rotterdam,Road,8,In Transit,2025-05-12,SKU121,104,2025-05-20
SHP000044,Zhengzhou,Johannesburg,Road,5,In Transit,2025-01-22,SKU108,108,2025-01-27
SHP000045,Chennai,Mumbai,Road,7,Delayed,2025-02-14,SKU109,158,2025-02-21
SHP000046,Bangkok,Sao Paulo,Road,2,In Transit,2025-11-09,SKU129,131,2025-11-11
SHP000047,Zhengzhou,Singapore,Road,2,Delayed,2025-03-15,SKU111,102,2025-03-17
SHP000048,Ho Chi Minh City,Dubai,Air,20,Delayed,2025-09-22,SKU111,153,2025-10-12
SHP000049,Bangkok,Dubai,Road,15,In Transit,2025-10-14,SKU102,160,2025-10-29
SHP000050,Chennai,Dubai,Sea,4,Delivered,2025-05-14,SKU108,188,2025-05-18
SHP000051,Chennai,Singapore,Air,18,In Transit,2025-01-21,SKU115,200,2025-02-08
SHP000052,Shenzhen,Dubai,Air,24,Delayed,2025-04-23,SKU116,212,2025-05-17
SHP000053,Zhengzhou,Mumbai,Sea,7,Delayed,2025-03-31,SKU106,181,2025-04-07
SHP000054,Bangkok,Sydney,Sea,24,Delivered,2025-05-14,SKU111,113,2025-06-07
SHP000055,Zhengzhou,Johannesburg,Road,24,Delivered,2025-12-01,SKU102,207,2025-12-25
SHP000056,Shenzhen,Mumbai,Road,24,Delivered,2025-11-20,SKU103,174,2025-12-14
SHP000057,Noida,Chicago,Sea,21,In Transit,2025-02-01,SKU114,145,2025-02-22
SHP000058,Bangkok,Johannesburg,Road,16,In Transit,2025-08-07,SKU123,184,2025-08-23
SHP000059,Noida,Sydney,Air,13,Delayed,2025-04-28,SKU117,156,2025-05-11
SHP000060,Chennai,Johannesburg,Road,25,In Transit,2025-05-02,SKU123,146,2025-05-27
SHP000061,Bangkok,Singapore,Road,15,In Transit,2025-06-17,SKU105,120,2025-07-02
SHP000062,Ho Chi Minh City,Johannesburg,Sea,6,Delayed,2025-04-03,SKU116,188,2025-04-09
SHP000063,Noida,Sao Paulo,Sea,7,Delivered,2025-10-23,SKU111,172,2025-10-30
SHP000064,Zhengzhou,Sydney,Sea,22,Delivered,2025-06-15,SKU115,179,2025-07-07
SHP000065,Noida,Johannesburg,Road,20,Delivered,2025-07-03,SKU103,156,2025-07-23
SHP000066,Chennai,Johannesburg,Air,3,In Transit,2025-03-11,SKU126,143,2025-03-14
SHP000067,Noida,Rotterdam,Air,8,Delayed,2025-07-10,SKU111,210,2025-07-18
SHP000068,Bangkok,Sao Paulo,Sea,5,Delivered,2025-04-08,SKU116,193,2025-04-13
SHP000069,Bangkok,Sydney,Sea,10,Delayed,2025-09-25,SKU121,135,2025-10-05
SHP000070,Shenzhen,Johannesburg,Road,20,Delivered,2025-03-30,SKU128,184,2025-04-19
SHP000071,Bangkok,Sao Paulo,Road,10,In Transit,2025-08-25,SKU118,110,2025-09-04
SHP000072,Chennai,Sao Paulo,Air,19,Delivered,2025-12-18,SKU125,133,2026-01-06
SHP000073,Ho Chi Minh City,Sao Paulo,Road,19,Delayed,2025-05-30,SKU120,205,2025-06-18
SHP000074,Shenzhen,Sao Paulo,Road,13,Delayed,2025-06-10,SKU113,229,2025-06-23
SHP000075,Shenzhen,Chicago,Air,7,Delayed,2025-11-30,SKU122,195,2025-12-07
SHP000076,Noida,Johannesburg,Air,4,Delayed,2025-08-23,SKU116,244,2025-08-27
SHP000077,Zhengzhou,Dubai,Sea,21,Delivered,2025-08-22,SKU107,129,2025-09-12
SHP000078,Ho Chi Minh City,Chicago,Sea,22,Delivered,2025-05-18,SKU118,162,2025-06-09
SHP000079,Noida,Rotterdam,Road,5,In Transit,2025-08-26,SKU118,178,2025-08-31
SHP000080,Ho Chi Minh City,Dubai,Road,14,Delivered,2025-07-27,SKU129,216,2025-08-10
SHP000081,Bangkok,Sydney,Sea,4,In Transit,2025-11-05,SKU105,118,2025-11-09
SHP000082,Zhengzhou,Mumbai,Road,18,In Transit,2025-05-09,SKU123,109,2025-05-27
SHP000083,Shenzhen,Chicago,Air,18,In Transit,2025-03-16,SKU114,187,2025-04-03
SHP000084,Bangkok,Dubai,Road,17,In Transit,2025-06-22,SKU110,88,2025-07-09
SHP000085,Shenzhen,Dubai,Road,12,In Transit,2025-10-08,SKU117,219,2025-10-20
SHP000086,Noida,Johannesburg,Air,10,In Transit,2025-08-04,SKU128,152,2025-08-14
SHP000087,Noida,Chicago,Sea,9,Delivered,2025-03-15,SKU123,132,2025-03-24
SHP000088,Noida,Sao Paulo,Sea,11,Delivered,2025-04-21,SKU104,194,2025-05-02
SHP000089,Chennai,Johannesburg,Air,6,Delivered,2025-12-27,SKU111,174,2026-01-02
SHP000090,Bangkok,Dubai,Air,24,In Transit,2025-07-09,SKU123,190,2025-08-02
SHP000091,Noida,Johannesburg,Road,14,In Transit,2025-04-13,SKU105,188,2025-04-27
SHP000092,Bangkok,Johannesburg,Road,21,In Transit,2025-05-02,SKU116,198,2025-05-23
SHP000093,Chennai,Rotterdam,Sea,8,Delayed,2025-02-17,SKU121,104,2025-02-25
SHP000094,Zhengzhou,Sydney,Road,22,In Transit,2025-11-30,SKU100,189,2025-12-22
SHP000095,Zhengzhou,Sao Paulo,Road,16,Delayed,2025-10-19,SKU125,214,2025-11-04
SHP000096,Zhengzhou,Chicago,Road,25,Delayed,2025-04-05,SKU128,118,2025-04-30
SHP000097,Chennai,Chicago,Sea,5,Delivered,2025-02-08,SKU109,101,2025-02-13
SHP000098,Noida,Johannesburg,Air,8,Delayed,2025-12-25,SKU103,201,2026-01-02
SHP000099,Noida,Sao Paulo,Air,8,In Transit,2025-03-15,SKU122,98,2025-03-23
SHP000100,Noida,Singapore,Road,12,Delivered,2025-09-09,SKU121,215,2025-09-21
SHP000101,Ho Chi Minh City,Johannesburg,Air,20,Delayed,2025-05-05,SKU104,216,2025-05-25
SHP000102,Zhengzhou,Mumbai,Air,3,In Transit,2025-01-28,SKU121,100,2025-01-31
SHP000103,Chennai,Johannesburg,Air,5,In Transit,2025-10-14,SKU101,202,2025-10-19
SHP000104,Chennai,Dubai,Sea,23,Delivered,2025-01-10,SKU121,160,2025-02-02
SHP000105,Ho Chi Minh City,Mumbai,Road,17,In Transit,2025-08-22,SKU112,213,2025-09-08
SHP000106,Ho Chi Minh City,Chicago,Road,20,In Transit,2025-03-02,SKU112,128,2025-03-22
SHP000107,Chennai,Sydney,Air,8,Delayed,2025-01-30,SKU100,110,2025-02-07
SHP000108,Zhengzhou,Dubai,Road,6,Delivered,2025-12-20,SKU121,149,2025-12-26
SHP000109,Noida,Sydney,Sea,22,In Transit,2025-04-24,SKU129,135,2025-05-16
SHP000110,Zhengzhou,Johannesburg,Road,9,Delayed,2025-02-04,SKU127,200,2025-02-13
SHP000111,Shenzhen,Dubai,Air,10,Delayed,2025-01-07,SKU108,228,2025-01-17
SHP000112,Shenzhen,Singapore,Air,3,Delivered,2025-04-23,SKU106,181,2025-04-26
SHP000113,Bangkok,Chicago,Road,8,Delivered,2025-02-15,SKU100,160,2025-02-23
SHP000114,Shenzhen,Dubai,Air,20,Delayed,2025-02-05,SKU116,123,2025-02-25
SHP000115,Bangkok,Johannesburg,Road,10,Delayed,2025-03-05,SKU122,126,2025-03-15
SHP000116,Ho Chi Minh City,Rotterdam,Sea,22,Delayed,2025-11-03,SKU112,99,2025-11-25
SHP000117,Noida,Sao Paulo,Sea,23,Delivered,2025-11-09,SKU115,197,2025-12-02
SHP000118,Noida,Sydney,Air,18,Delivered,2025-11-26,SKU124,198,2025-12-14
SHP000119,Zhengzhou,Johannesburg,Sea,14,Delivered,2025-08-19,SKU105,185,2025-09-02
SHP000120,Chennai,Chicago,Air,9,Delivered,2025-09-01,SKU112,118,2025-09-10
SHP000121,Chennai,Sao Paulo,Sea,5,Delivered,2025-10-01,SKU110,209,2025-10-06
SHP000122,Noida,Chicago,Road,17,In Transit,2025-12-05,SKU117,197,2025-12-22
SHP000123,Chennai,Sydney,Air,8,In Transit,2025-03-29,SKU121,210,2025-04-06
SHP000124,Zhengzhou,Sao Paulo,Road,24,Delayed,2025-11-14,SKU129,205,2025-12-08
SHP000125,Noida,Mumbai,Road,11,In Transit,2025-08-26,SKU126,143,2025-09-06
SHP000126,Bangkok,Rotterdam,Sea,9,In Transit,2025-05-10,SKU101,109,2025-05-19
SHP000127,Bangkok,Mumbai,Sea,19,In Transit,2025-11-06,SKU122,107,2025-11-25
SHP000128,Noida,Dubai,Sea,14,Delivered,2025-06-22,SKU121,177,2025-07-06
SHP000129,Ho Chi Minh City,Johannesburg,Road,5,Delivered,2025-09-23,SKU119,172,2025-09-28
SHP000130,Bangkok,Rotterdam,Road,21,Delayed,2025-12-29,SKU105,118,2026-01-19
SHP000131,Bangkok,Rotterdam,Road,6,Delayed,2025-07-12,SKU128,211,2025-07-18
SHP000132,Noida,Mumbai,Road,3,In Transit,2025-03-20,SKU119,105,2025-03-23
SHP000133,Ho Chi Minh City,Johannesburg,Air,5,Delayed,2025-05-14,SKU114,156,2025-05-19
SHP000134,Noida,Mumbai,Sea,9,Delivered,2025-04-03,SKU117,212,2025-04-12
SHP000135,Noida,Mumbai,Air,13,In Transit,2025-02-19,SKU121,111,2025-03-04
SHP000136,Noida,Mumbai,Road,18,Delivered,2025-10-12,SKU112,157,2025-10-30
SHP000137,Shenzhen,Rotterdam,Road,11,Delivered,2025-09-23,SKU112,139,2025-10-04
SHP000138,Zhengzhou,Chicago,Road,5,Delayed,2025-12-09,SKU123,176,2025-12-14
SHP000139,Shenzhen,Sydney,Road,25,Delivered,2025-04-23,SKU111,216,2025-05-18
SHP000140,Bangkok,Johannesburg,Air,4,Delivered,2025-11-03,SKU110,117,2025-11-07
SHP000141,Zhengzhou,Dubai,Road,6,In Transit,2025-12-30,SKU121,111,2026-01-05
SHP000142,Ho Chi Minh City,Sao Paulo,Road,19,Delivered,2025-11-14,SKU115,132,2025-12-03
SHP000143,Bangkok,Sao Paulo,Air,22,Delayed,2025-06-30,SKU109,148,2025-07-22
SHP000144,Bangkok,Chicago,Sea,12,In Transit,2025-10-19,SKU104,109,2025-10-31
SHP000145,Ho Chi Minh City,Mumbai,Road,24,In Transit,2025-04-23,SKU112,135,2025-05-17
SHP000146,Ho Chi Minh City,Johannesburg,Air,4,In Transit,2025-07-10,SKU129,207,2025-07-14
SHP000147,Noida,Johannesburg,Air,17,In Transit,2025-08-11,SKU103,120,2025-08-28
SHP000148,Ho Chi Minh City,Chicago,Road,25,In Transit,2025-07-06,SKU127,166,2025-07-31
SHP000149,Noida,Johannesburg,Sea,25,Delayed,2025-03-22,SKU101,211,2025-04-16
SHP000150,Noida,Johannesburg,Air,15,Delayed,2025-09-23,SKU114,174,2025-10-08
SHP000151,Shenzhen,Sydney,Road,6,In Transit,2025-10-19,SKU120,100,2025-10-25
SHP000152,Chennai,Sydney,Road,2,Delivered,2025-09-01,SKU123,181,2025-09-03
SHP000153,Bangkok,Dubai,Air,4,In Transit,2025-10-09,SKU108,122,2025-10-13
SHP000154,Zhengzhou,Singapore,Air,7,In Transit,2025-05-05,SKU110,176,2025-05-12
SHP000155,Noida,Dubai,Air,16,In Transit,2025-06-04,SKU118,193,2025-06-20
SHP000156,Chennai,Chicago,Sea,14,In Transit,2025-11-25,SKU109,164,2025-12-09
SHP000157,Shenzhen,Rotterdam,Air,12,Delivered,2025-08-11,SKU120,104,2025-08-23
SHP000158,Shenzhen,Chicago,Air,25,In Transit,2025-07-30,SKU101,101,2025-08-24
SHP000159,Zhengzhou,Dubai,Air,24,Delayed,2025-03-20,SKU116,225,2025-04-13
SHP000160,Zhengzhou,Mumbai,Sea,7,In Transit,2025-03-02,SKU119,209,2025-03-09
SHP000161,Shenzhen,Rotterdam,Road,18,Delivered,2025-01-18,SKU110,192,2025-02-05
SHP000162,Zhengzhou,Mumbai,Air,19,In Transit,2025-08-05,SKU118,234,2025-08-24
SHP000163,Zhengzhou,Chicago,Road,18,Delivered,2025-10-09,SKU121,135,2025-10-27
SHP000164,Bangkok,Mumbai,Sea,23,In Transit,2025-01-29,SKU126,168,2025-02-21
SHP000165,Noida,Johannesburg,Road,15,Delayed,2025-08-21,SKU102,182,2025-09-05
SHP000166,Bangkok,Sao Paulo,Road,8,In Transit,2025-05-29,SKU129,149,2025-06-06
SHP000167,Shenzhen,Rotterdam,Air,13,In Transit,2025-08-29,SKU112,144,2025-09-11
SHP000168,Bangkok,Sao Paulo,Air,3,Delivered,2025-09-24,SKU110,117,2025-09-27
SHP000169,Shenzhen,Singapore,Sea,23,Delayed,2025-05-14,SKU102,146,2025-06-06
SHP000170,Bangkok,Chicago,Sea,6,In Transit,2025-10-23,SKU113,96,2025-10-29
SHP000171,Ho Chi Minh City,Dubai,Road,12,Delivered,2025-11-15,SKU109,135,2025-11-27
SHP000172,Chennai,Sao Paulo,Sea,7,In Transit,2025-01-15,SKU124,165,2025-01-22
SHP000173,Noida,Chicago,Road,8,Delayed,2025-11-12,SKU109,183,2025-11-20
SHP000174,Chennai,Singapore,Road,5,In Transit,2025-01-04,SKU109,230,2025-01-09
SHP000175,Shenzhen,Sao Paulo,Sea,3,In Transit,2025-08-08,SKU107,107,2025-08-11
SHP000176,Zhengzhou,Singapore,Sea,24,Delayed,2025-06-12,SKU102,193,2025-07-06
SHP000177,Shenzhen,Mumbai,Air,16,Delivered,2025-04-12,SKU101,183,2025-04-28
SHP000178,Shenzhen,Rotterdam,Road,17,Delayed,2025-05-20,SKU129,131,2025-06-06
SHP000179,Shenzhen,Dubai,Air,21,Delayed,2025-06-18,SKU122,129,2025-07-09
SHP000180,Noida,Johannesburg,Sea,10,Delivered,2025-08-24,SKU110,109,2025-09-03
SHP000181,Ho Chi Minh City,Mumbai,Sea,17,Delayed,2025-03-30,SKU103,174,2025-04-16
SHP000182,Chennai,Dubai,Road,6,Delivered,2025-07-10,SKU113,224,2025-07-16
SHP000183,Ho Chi Minh City,Johannesburg,Road,6,Delivered,2025-07-06,SKU125,179,2025-07-12
SHP000184,Shenzhen,Chicago,Road,6,Delayed,2025-07-10,SKU102,183,2025-07-16
SHP000185,Bangkok,Singapore,Sea,14,Delivered,2025-01-11,SKU121,157,2025-01-25
SHP000186,Noida,Rotterdam,Road,25,Delivered,2025-06-08,SKU116,200,2025-07-03
SHP000187,Chennai,Singapore,Sea,23,Delayed,2025-06-17,SKU122,118,2025-07-10
SHP000188,Zhengzhou,Sao Paulo,Sea,5,Delivered,2025-02-26,SKU110,197,2025-03-03
SHP000189,Noida,Dubai,Air,6,Delivered,2025-11-12,SKU108,174,2025-11-18
SHP000190,Chennai,Rotterdam,Road,4,Delayed,2025-01-09,SKU121,203,2025-01-13
SHP000191,Noida,Singapore,Air,7,In Transit,2025-09-08,SKU103,109,2025-09-15
SHP000192,Bangkok,Chicago,Road,25,Delayed,2025-06-13,SKU126,130,2025-07-08
SHP000193,Noida,Johannesburg,Sea,16,Delayed,2025-11-10,SKU105,125,2025-11-26
SHP000194,Ho Chi Minh City,Dubai,Road,6,Delayed,2025-11-03,SKU129,208,2025-11-09
SHP000195,Shenzhen,Sydney,Air,19,Delayed,2025-01-25,SKU100,172,2025-02-13
SHP000196,Zhengzhou,Chicago,Air,13,In Transit,2025-07-10,SKU113,193,2025-07-23
SHP000197,Noida,Dubai,Air,13,In Transit,2025-10-28,SKU105,133,2025-11-10
SHP000198,Noida,Rotterdam,Sea,25,Delivered,2025-10-09,SKU125,107,2025-11-03
SHP000199,Zhengzhou,Sydney,Road,24,In Transit,2025-05-12,SKU107,134,2025-06-05
SHP000200,Ho Chi Minh City,Rotterdam,Road,13,In Transit,2025-05-12,SKU108,120,2025-05-25
SHP000201,Zhengzhou,Chicago,Sea,11,Delayed,2025-02-11,SKU104,221,2025-02-22
SHP000202,Zhengzhou,Chicago,Air,4,Delivered,2025-06-22,SKU103,156,2025-06-26
SHP000203,Shenzhen,Sydney,Sea,3,Delivered,2025-02-02,SKU121,138,2025-02-05
SHP000204,Shenzhen,Johannesburg,Air,23,Delivered,2025-12-09,SKU112,160,2026-01-01
SHP000205,Bangkok,Sao Paulo,Air,22,Delivered,2025-04-23,SKU118,123,2025-05-15
SHP000206,Noida,Singapore,Road,23,Delivered,2025-04-12,SKU109,127,2025-05-05
SHP000207,Noida,Singapore,Sea,22,Delayed,2025-02-20,SKU121,101,2025-03-14
SHP000208,Zhengzhou,Chicago,Sea,18,Delayed,2025-06-16,SKU110,108,2025-07-04
SHP000209,Ho Chi Minh City,Sao Paulo,Sea,5,Delivered,2025-12-26,SKU110,199,2025-12-31
SHP000210,Zhengzhou,Singapore,Air,15,Delayed,2025-09-07,SKU114,107,2025-09-22
SHP000211,Ho Chi Minh City,Chicago,Air,6,Delivered,2025-05-03,SKU128,173,2025-05-09
SHP000212,Zhengzhou,Singapore,Sea,14,Delivered,2025-07-12,SKU102,179,2025-07-26
SHP000213,Zhengzhou,Sao Paulo,Sea,9,In Transit,2025-10-05,SKU128,152,2025-10-14
SHP000214,Ho Chi Minh City,Sydney,Road,9,Delivered,2025-02-17,SKU121,108,2025-02-26
SHP000215,Bangkok,Sao Paulo,Sea,24,Delayed,2025-07-06,SKU111,213,2025-07-30
SHP000216,Ho Chi Minh City,Dubai,Air,14,Delayed,2025-10-15,SKU108,203,2025-10-29
SHP000217,Zhengzhou,Singapore,Sea,20,Delayed,2025-08-26,SKU122,107,2025-09-15
SHP000218,Bangkok,Chicago,Air,18,Delivered,2025-10-22,SKU112,172,2025-11-09
SHP000219,Zhengzhou,Chicago,Air,17,Delayed,2025-08-18,SKU121,192,2025-09-04
SHP000220,Chennai,Chicago,Sea,25,Delayed,2025-04-19,SKU129,123,2025-05-14
SHP000221,Bangkok,Chicago,Air,12,In Transit,2025-08-20,SKU120,151,2025-09-01
SHP000222,Ho Chi Minh City,Sao Paulo,Road,4,Delayed,2025-06-28,SKU117,147,2025-07-02
SHP000223,Noida,Mumbai,Road,12,Delayed,2025-02-21,SKU117,183,2025-03-05
SHP000224,Bangkok,Mumbai,Road,17,In Transit,2025-08-15,SKU100,147,2025-09-01
SHP000225,Bangkok,Singapore,Sea,14,In Transit,2025-11-06,SKU118,150,2025-11-20
SHP000226,Noida,Sao Paulo,Sea,3,In Transit,2025-07-28,SKU129,119,2025-07-31
SHP000227,Chennai,Mumbai,Air,17,Delayed,2025-05-17,SKU106,124,2025-06-03
SHP000228,Chennai,Sao Paulo,Air,19,Delayed,2025-06-03,SKU120,175,2025-06-22
SHP000229,Noida,Rotterdam,Air,8,In Transit,2025-11-03,SKU108,136,2025-11-11
SHP000230,Bangkok,Sydney,Air,3,In Transit,2025-04-08,SKU110,152,2025-04-11
SHP000231,Shenzhen,Johannesburg,Road,13,In Transit,2025-11-25,SKU123,136,2025-12-08
SHP000232,Shenzhen,Sydney,Road,13,Delayed,2025-01-06,SKU127,195,2025-01-19
SHP000233,Noida,Sao Paulo,Air,8,Delayed,2025-05-11,SKU105,218,2025-05-19
SHP000234,Chennai,Rotterdam,Air,23,In Transit,2025-07-28,SKU118,153,2025-08-20
SHP000235,Shenzhen,Rotterdam,Sea,12,Delayed,2025-07-13,SKU117,128,2025-07-25
SHP000236,Chennai,Dubai,Sea,20,Delayed,2025-09-29,SKU127,201,2025-10-19
SHP000237,Chennai,Chicago,Air,23,In Transit,2025-05-23,SKU104,110,2025-06-15
SHP000238,Ho Chi Minh City,Dubai,Sea,23,Delayed,2025-06-29,SKU128,139,2025-07-22
SHP000239,Chennai,Sydney,Sea,3,In Transit,2025-04-09,SKU122,155,2025-04-12
SHP000240,Zhengzhou,Chicago,Sea,13,Delayed,2025-06-14,SKU104,201,2025-06-27
SHP000241,Noida,Dubai,Road,3,Delayed,2025-09-27,SKU101,167,2025-09-30
SHP000242,Zhengzhou,Sydney,Sea,22,In Transit,2025-08-31,SKU118,213,2025-09-22
SHP000243,Chennai,Rotterdam,Road,11,In Transit,2025-11-04,SKU117,194,2025-11-15
SHP000244,Shenzhen,Sao Paulo,Road,22,Delayed,2025-08-18,SKU105,121,2025-09-09
SHP000245,Ho Chi Minh City,Johannesburg,Sea,18,In Transit,2025-04-09,SKU124,155,2025-04-27
SHP000246,Bangkok,Mumbai,Road,9,In Transit,2025-02-24,SKU123,187,2025-03-05
SHP000247,Chennai,Singapore,Sea,18,Delivered,2025-03-10,SKU108,201,2025-03-28
SHP000248,Noida,Dubai,Road,6,Delivered,2025-07-24,SKU107,144,2025-07-30
SHP000249,Shenzhen,Dubai,Sea,18,Delayed,2025-05-17,SKU123,204,2025-06-04
SHP000250,Shenzhen,Sao Paulo,Air,19,Delayed,2025-11-19,SKU128,190,2025-12-08
SHP000251,Bangkok,Sao Paulo,Air,10,In Transit,2025-04-21,SKU102,171,2025-05-01
SHP000252,Ho Chi Minh City,Singapore,Sea,24,Delivered,2025-11-26,SKU122,146,2025-12-20
SHP000253,Noida,Rotterdam,Sea,17,In Transit,2025-08-07,SKU120,150,2025-08-24
SHP000254,Bangkok,Rotterdam,Road,6,Delivered,2025-06-01,SKU117,124,2025-06-07
SHP000255,Bangkok,Johannesburg,Road,8,Delivered,2025-09-03,SKU114,166,2025-09-11
SHP000256,Noida,Dubai,Sea,20,Delivered,2025-09-14,SKU102,120,2025-10-04
SHP000257,Noida,Rotterdam,Road,21,Delivered,2025-07-04,SKU107,116,2025-07-25
SHP000258,Noida,Singapore,Road,18,Delayed,2025-05-25,SKU125,101,2025-06-12
SHP000259,Ho Chi Minh City,Chicago,Air,17,Delayed,2025-02-03,SKU121,146,2025-02-20
SHP000260,Noida,Johannesburg,Sea,3,Delayed,2025-06-27,SKU117,239,2025-06-30
SHP000261,Ho Chi Minh City,Singapore,Air,16,Delivered,2025-03-11,SKU105,192,2025-03-27
SHP000262,Bangkok,Dubai,Road,22,In Transit,2025-03-10,SKU119,144,2025-04-01
SHP000263,Chennai,Rotterdam,Sea,24,Delayed,2025-09-04,SKU114,115,2025-09-28
SHP000264,Chennai,Sao Paulo,Road,12,In Transit,2025-09-18,SKU110,139,2025-09-30
SHP000265,Bangkok,Singapore,Sea,8,Delayed,2025-11-08,SKU101,213,2025-11-16
SHP000266,Bangkok,Johannesburg,Sea,16,Delayed,2025-10-16,SKU117,186,2025-11-01
SHP000267,Ho Chi Minh City,Mumbai,Air,3,Delivered,2025-06-20,SKU124,113,2025-06-23
SHP000268,Noida,Mumbai,Road,19,Delayed,2025-01-14,SKU102,187,2025-02-02
SHP000269,Ho Chi Minh City,Mumbai,Sea,10,Delayed,2025-09-29,SKU108,229,2025-10-09
SHP000270,Chennai,Rotterdam,Air,7,Delivered,2025-10-03,SKU117,159,2025-10-10
SHP000271,Chennai,Dubai,Sea,24,In Transit,2025-03-20,SKU126,120,2025-04-13
SHP000272,Shenzhen,Dubai,Road,22,Delayed,2025-08-04,SKU117,121,2025-08-26
SHP000273,Ho Chi Minh City,Chicago,Road,13,In Transit,2025-02-28,SKU127,178,2025-03-13
SHP000274,Chennai,Dubai,Sea,4,Delayed,2025-05-26,SKU117,200,2025-05-30
SHP000275,Shenzhen,Rotterdam,Road,17,Delivered,2025-12-15,SKU120,112,2026-01-01
SHP000276,Chennai,Rotterdam,Air,6,In Transit,2025-04-21,SKU119,227,2025-04-27
