Date,WarehouseID,SKUID,OnHand,Outbound
2025-03-08,WH001,SKU100,115,29.9
2025-03-09,WH001,SKU100,84,31.3
2025-03-10,WH001,SKU100,61,23.0
2025-03-11,WH001,SKU100,177,17.6
2025-03-12,WH001,SKU100,154,22.6
2025-03-13,WH001,SKU100,126,28.0
2025-03-14,WH001,SKU100,108,18.4
2025-03-15,WH001,SKU100,98,10.0
2025-03-16,WH001,SKU100,72,25.6
2025-03-17,WH001,SKU100,66,5.9
2025-03-18,WH001,SKU100,225,12.9
2025-03-19,WH001,SKU100,195,30.2
2025-03-20,WH001,SKU100,163,32.0
2025-03-21,WH001,SKU100,146,17.6
2025-03-22,WH001,SKU100,112,33.4
2025-03-23,WH001,SKU100,99,13.7
2025-03-24,WH001,SKU100,77,21.9
2025-03-25,WH001,SKU100,247,5.7
2025-03-26,WH001,SKU100,222,24.8
2025-03-27,WH001,SKU100,210,11.3
2025-03-28,WH001,SKU100,190,20.1
2025-03-29,WH001,SKU100,176,13.8
2025-03-30,WH001,SKU100,164,12.0
2025-03-31,WH001,SKU100,152,12.5
2025-04-01,WH001,SKU100,251,24.2
2025-04-02,WH001,SKU100,245,6.5
2025-04-03,WH001,SKU100,212,32.4
2025-04-04,WH001,SKU100,192,20.4
2025-04-05,WH001,SKU100,173,18.6
2025-04-06,WH001,SKU100,142,31.3
2025-04-07,WH001,SKU100,126,15.6
2025-04-08,WH001,SKU100,251,29.9
2025-04-09,WH001,SKU100,238,13.0
2025-04-10,WH001,SKU100,225,13.3
2025-04-11,WH001,SKU100,213,12.0
2025-04-12,WH001,SKU100,178,34.6
2025-04-13,WH001,SKU100,172,5.7
2025-04-14,WH001,SKU100,138,34.1
2025-04-15,WH001,SKU100,249,8.4
2025-04-16,WH001,SKU100,216,32.3
2025-04-17,WH001,SKU100,205,11.1
2025-04-18,WH001,SKU100,171,34.2
2025-04-19,WH001,SKU100,141,30.2
2025-04-20,WH001,SKU100,131,10.0
2025-04-21,WH001,SKU100,114,16.8
2025-04-22,WH001,SKU100,246,23.0
2025-04-23,WH001,SKU100,233,12.3
2025-04-24,WH001,SKU100,199,34.6
2025-04-25,WH001,SKU100,171,27.6
2025-04-26,WH001,SKU100,154,16.9
2025-04-27,WH001,SKU100,142,12.3
2025-04-28,WH001,SKU100,112,29.8
2025-04-29,WH001,SKU100,200,33.5
2025-04-30,WH001,SKU100,191,9.0
2025-05-01,WH001,SKU100,169,22.2
2025-05-02,WH001,SKU100,140,29.0
2025-05-03,WH001,SKU100,133,6.3
2025-05-04,WH001,SKU100,116,17.8
2025-05-05,WH001,SKU100,105,10.7
2025-05-06,WH001,SKU100,236,26.8
2025-05-07,WH001,SKU100,214,21.9
2025-05-08,WH001,SKU100,181,32.5
2025-05-09,WH001,SKU100,156,24.8
2025-05-10,WH001,SKU100,148,8.3
2025-05-11,WH001,SKU100,130,18.4
2025-05-12,WH001,SKU100,103,27.1
2025-05-13,WH001,SKU100,246,23.7
2025-05-14,WH001,SKU100,213,33.0
2025-05-15,WH001,SKU100,184,28.6
2025-05-16,WH001,SKU100,159,25.7
2025-05-17,WH001,SKU100,135,23.3
2025-05-18,WH001,SKU100,116,18.9
2025-05-19,WH001,SKU100,83,33.3
2025-05-20,WH001,SKU100,195,10.1
2025-05-21,WH001,SKU100,176,18.3
2025-05-22,WH001,SKU100,165,11.3
2025-05-23,WH001,SKU100,143,22.3
2025-05-24,WH001,SKU100,129,14.1
2025-05-25,WH001,SKU100,104,25.0
2025-05-26,WH001,SKU100,93,10.8
2025-05-27,WH001,SKU100,228,21.7
2025-05-28,WH001,SKU100,209,18.8
2025-05-29,WH001,SKU100,192,17.4
2025-05-30,WH001,SKU100,165,26.8
2025-05-31,WH001,SKU100,133,32.2
2025-06-01,WH001,SKU100,102,30.9
2025-06-02,WH001,SKU100,67,35.4
2025-06-03,WH001,SKU100,220,19.6
2025-06-04,WH001,SKU100,209,10.6
2025-06-05,WH001,SKU100,185,24.8
2025-06-06,WH001,SKU100,175,9.7
2025-06-07,WH001,SKU100,139,35.6
2025-06-08,WH001,SKU100,132,7.3
2025-06-09,WH001,SKU100,120,11.5
2025-06-10,WH001,SKU100,231,12.5
2025-06-11,WH001,SKU100,203,27.9
2025-06-12,WH001,SKU100,190,13.7
2025-06-13,WH001,SKU100,173,16.3
2025-06-14,WH001,SKU100,164,9.1
2025-06-15,WH001,SKU100,143,21.2
2025-06-16,WH001,SKU100,131,12.1
2025-06-17,WH001,SKU100,300,12.1
2025-06-18,WH001,SKU100,284,15.5
2025-06-19,WH001,SKU100,273,11.8
2025-06-20,WH001,SKU100,237,35.4
2025-06-21,WH001,SKU100,225,11.8
2025-06-22,WH001,SKU100,201,24.6
2025-06-23,WH001,SKU100,181,19.9
2025-06-24,WH001,SKU100,270,23.0
2025-06-25,WH001,SKU100,238,32.2
2025-06-26,WH001,SKU100,230,7.9
2025-06-27,WH001,SKU100,198,31.6
2025-06-28,WH001,SKU100,168,30.0
2025-06-29,WH001,SKU100,149,19.7
2025-06-30,WH001,SKU100,122,27.1
2025-07-01,WH001,SKU100,204,30.2
2025-07-02,WH001,SKU100,197,6.8
2025-07-03,WH001,SKU100,165,32.1
2025-07-04,WH001,SKU100,140,25.2
2025-07-05,WH001,SKU100,121,18.6
2025-07-06,WH001,SKU100,105,16.4
2025-07-07,WH001,SKU100,73,31.3
2025-07-08,WH001,SKU100,186,29.3
2025-07-09,WH001,SKU100,155,31.2
2025-07-10,WH001,SKU100,125,30.1
2025-07-11,WH001,SKU100,115,9.8
2025-07-12,WH001,SKU100,86,28.5
2025-07-13,WH001,SKU100,75,11.7
2025-07-14,WH001,SKU100,64,10.8
2025-07-15,WH001,SKU100,236,7.0
2025-07-16,WH001,SKU100,209,26.3
2025-07-17,WH001,SKU100,192,17.0
2025-07-18,WH001,SKU100,169,23.6
2025-07-19,WH001,SKU100,158,10.6
2025-07-20,WH001,SKU100,135,23.0
2025-07-21,WH001,SKU100,128,6.6
2025-07-22,WH001,SKU100,272,15.8
2025-07-23,WH001,SKU100,257,15.4
2025-07-24,WH001,SKU100,247,10.3
2025-07-25,WH001,SKU100,213,33.3
2025-07-26,WH001,SKU100,205,8.1
2025-07-27,WH001,SKU100,189,16.6
2025-07-28,WH001,SKU100,156,33.0
2025-07-29,WH001,SKU100,275,9.8
2025-07-30,WH001,SKU100,265,9.9
2025-07-31,WH001,SKU100,246,18.7
2025-08-01,WH001,SKU100,232,14.5
2025-08-02,WH001,SKU100,197,34.3
2025-08-03,WH001,SKU100,185,12.1
2025-08-04,WH001,SKU100,178,7.8
2025-08-05,WH001,SKU100,289,11.3
2025-08-06,WH001,SKU100,250,38.8
2025-08-07,WH001,SKU100,241,9.4
2025-08-08,WH001,SKU100,225,16.1
2025-08-09,WH001,SKU100,190,35.4
2025-08-10,WH001,SKU100,175,14.1
2025-08-11,WH001,SKU100,163,12.8
2025-08-12,WH001,SKU100,257,32.0
2025-08-13,WH001,SKU100,227,30.0
2025-08-14,WH001,SKU100,186,41.0
2025-08-15,WH001,SKU100,167,19.3
2025-08-16,WH001,SKU100,132,34.6
2025-08-17,WH001,SKU100,117,15.1
2025-08-18,WH001,SKU100,106,10.8
2025-08-19,WH001,SKU100,196,19.1
2025-08-20,WH001,SKU100,169,27.1
2025-08-21,WH001,SKU100,144,24.5
2025-08-22,WH001,SKU100,127,17.4
2025-08-23,WH001,SKU100,93,33.6
2025-08-24,WH001,SKU100,63,30.5
2025-08-25,WH001,SKU100,51,12.3
2025-08-26,WH001,SKU100,183,25.7
2025-08-27,WH001,SKU100,167,16.8
2025-08-28,WH001,SKU100,138,29.0
2025-08-29,WH001,SKU100,104,33.8
2025-08-30,WH001,SKU100,85,18.6
2025-08-31,WH001,SKU100,53,32.5
2025-09-01,WH001,SKU100,42,11.3
2025-09-02,WH001,SKU100,189,22.3
2025-09-03,WH001,SKU100,163,26.4
2025-09-04,WH001,SKU100,127,35.8
2025-09-05,WH001,SKU100,120,6.7
2025-09-06,WH001,SKU100,109,11.1
2025-09-07,WH001,SKU100,92,17.2
2025-09-08,WH001,SKU100,72,19.6
2025-09-09,WH001,SKU100,205,38.0
2025-09-10,WH001,SKU100,166,39.7
2025-09-11,WH001,SKU100,139,26.2
2025-09-12,WH001,SKU100,117,22.3
2025-09-13,WH001,SKU100,93,23.7
2025-09-14,WH001,SKU100,82,11.7
2025-09-15,WH001,SKU100,64,18.1
2025-09-16,WH001,SKU100,187,40.6
2025-09-17,WH001,SKU100,151,36.1
2025-09-18,WH001,SKU100,115,35.9
2025-09-19,WH001,SKU100,87,27.8
2025-09-20,WH001,SKU100,66,21.5
2025-09-21,WH001,SKU100,46,20.2
2025-09-22,WH001,SKU100,16,29.8
2025-09-23,WH001,SKU100,132,38.6
2025-09-24,WH001,SKU100,109,23.2
2025-09-25,WH001,SKU100,91,17.8
2025-09-26,WH001,SKU100,72,19.6
2025-09-27,WH001,SKU100,49,22.1
2025-09-28,WH001,SKU100,31,18.4
2025-09-29,WH001,SKU100,0,40.2
2025-09-30,WH001,SKU100,165,17.2
2025-10-01,WH001,SKU100,137,28.0
2025-10-02,WH001,SKU100,120,17.1
2025-10-03,WH001,SKU100,106,14.1
2025-10-04,WH001,SKU100,91,14.3
2025-10-05,WH001,SKU100,63,28.3
2025-10-06,WH001,SKU100,43,20.4
2025-10-07,WH001,SKU100,244,8.6
2025-10-08,WH001,SKU100,220,24.2
2025-10-09,WH001,SKU100,204,16.2
2025-10-10,WH001,SKU100,194,9.8
2025-10-11,WH001,SKU100,169,24.7
2025-10-12,WH001,SKU100,135,34.8
2025-10-13,WH001,SKU100,106,28.8
2025-10-14,WH001,SKU100,236,28.1
2025-10-15,WH001,SKU100,210,25.9
2025-10-16,WH001,SKU100,174,35.7
2025-10-17,WH001,SKU100,169,5.7
2025-10-18,WH001,SKU100,138,31.0
2025-10-19,WH001,SKU100,131,7.2
2025-10-20,WH001,SKU100,102,28.2
2025-10-21,WH001,SKU100,222,11.3
2025-10-22,WH001,SKU100,195,26.5
2025-10-23,WH001,SKU100,174,21.9
2025-10-24,WH001,SKU100,141,32.2
2025-10-25,WH001,SKU100,113,28.3
2025-10-26,WH001,SKU100,92,20.8
2025-10-27,WH001,SKU100,68,24.5
2025-10-28,WH001,SKU100,218,16.1
2025-10-29,WH001,SKU100,191,27.5
2025-10-30,WH001,SKU100,177,13.5
2025-10-31,WH001,SKU100,143,34.6
2025-11-01,WH001,SKU100,102,41.1
2025-11-02,WH001,SKU100,58,43.5
2025-11-03,WH001,SKU100,21,36.8
2025-11-04,WH001,SKU100,141,25.8
2025-11-05,WH001,SKU100,110,31.0
2025-11-06,WH001,SKU100,73,36.1
2025-11-07,WH001,SKU100,64,9.8
2025-11-08,WH001,SKU100,37,26.9
2025-11-09,WH001,SKU100,23,14.2
2025-11-10,WH001,SKU100,0,37.4
2025-11-11,WH001,SKU100,152,17.7
2025-11-12,WH001,SKU100,140,12.3
2025-11-13,WH001,SKU100,127,13.2
2025-11-14,WH001,SKU100,84,42.6
2025-11-15,WH001,SKU100,40,44.1
2025-11-16,WH001,SKU100,16,24.2
2025-11-17,WH001,SKU100,0,43.9
2025-11-18,WH001,SKU100,209,13.9
2025-11-19,WH001,SKU100,163,46.1
2025-11-20,WH001,SKU100,134,28.3
2025-11-21,WH001,SKU100,105,29.6
2025-11-22,WH001,SKU100,67,37.5
2025-11-23,WH001,SKU100,54,13.1
2025-11-24,WH001,SKU100,31,23.7
2025-11-25,WH001,SKU100,177,27.1
2025-11-26,WH001,SKU100,142,35.0
2025-11-27,WH001,SKU100,128,13.9
2025-11-28,WH001,SKU100,103,24.5
2025-11-29,WH001,SKU100,67,36.4
2025-11-30,WH001,SKU100,37,29.9
2025-12-01,WH001,SKU100,0,36.4
2025-12-02,WH001,SKU100,186,9.0
2025-12-03,WH001,SKU100,153,32.8
2025-12-04,WH001,SKU100,131,22.3
2025-12-05,WH001,SKU100,83,47.6
2025-12-06,WH001,SKU100,36,46.8
2025-12-07,WH001,SKU100,0,43.0
2025-12-08,WH001,SKU100,0,25.3
2025-12-09,WH001,SKU100,167,38.3
2025-12-10,WH001,SKU100,122,45.2
2025-12-11,WH001,SKU100,108,13.7
2025-12-12,WH001,SKU100,94,14.7
2025-12-13,WH001,SKU100,56,37.5
2025-12-14,WH001,SKU100,44,12.0
2025-12-15,WH001,SKU100,22,22.0
2025-12-16,WH001,SKU100,195,12.0
2025-12-17,WH001,SKU100,163,31.8
2025-12-18,WH001,SKU100,122,41.3
2025-12-19,WH001,SKU100,86,35.6
2025-12-20,WH001,SKU100,60,26.7
2025-12-21,WH001,SKU100,18,41.6
2025-12-22,WH001,SKU100,0,21.2
2025-12-23,WH001,SKU100,240,15.8
2025-12-24,WH001,SKU100,216,23.9
2025-12-25,WH001,SKU100,178,38.1
2025-12-26,WH001,SKU100,155,23.1
2025-12-27,WH001,SKU100,126,28.6
2025-12-28,WH001,SKU100,91,35.1
2025-12-29,WH001,SKU100,74,17.6
2025-12-30,WH001,SKU100,188,42.7
2025-12-31,WH001,SKU100,168,20.6
2025-01-01,WH002,SKU100,396,11.6
2025-01-02,WH002,SKU100,385,11.0
2025-01-03,WH002,SKU100,368,16.7
2025-01-04,WH002,SKU100,354,13.8
2025-01-05,WH002,SKU100,329,24.8
2025-01-06,WH002,SKU100,321,8.8
2025-01-07,WH002,SKU100,296,24.4
2025-01-08,WH002,SKU100,276,20.7
2025-01-09,WH002,SKU100,270,5.4
2025-01-10,WH002,SKU100,247,22.7
2025-01-11,WH002,SKU100,241,6.1
2025-01-12,WH002,SKU100,231,10.3
2025-01-13,WH002,SKU100,212,18.5
2025-01-14,WH002,SKU100,186,26.4
2025-01-15,WH002,SKU100,167,19.2
2025-01-16,WH002,SKU100,158,8.8
2025-01-17,WH002,SKU100,142,16.0
2025-01-18,WH002,SKU100,117,25.1
2025-01-19,WH002,SKU100,94,23.4
2025-01-20,WH002,SKU100,84,9.3
2025-01-21,WH002,SKU100,80,4.3
2025-01-22,WH002,SKU100,168,23.2
2025-01-23,WH002,SKU100,153,14.6
2025-01-24,WH002,SKU100,144,8.8
2025-01-25,WH002,SKU100,136,8.4
2025-01-26,WH002,SKU100,110,26.4
2025-01-27,WH002,SKU100,99,10.2
2025-01-28,WH002,SKU100,82,17.7
2025-01-29,WH002,SKU100,182,10.3
2025-01-30,WH002,SKU100,163,18.2
2025-01-31,WH002,SKU100,144,19.7
2025-02-01,WH002,SKU100,135,8.6
2025-02-02,WH002,SKU100,131,4.6
2025-02-03,WH002,SKU100,119,11.5
2025-02-04,WH002,SKU100,111,8.0
2025-02-05,WH002,SKU100,199,18.5
2025-02-06,WH002,SKU100,190,8.7
2025-02-07,WH002,SKU100,177,12.4
2025-02-08,WH002,SKU100,168,9.3
2025-02-09,WH002,SKU100,147,21.5
2025-02-10,WH002,SKU100,129,17.9
2025-02-11,WH002,SKU100,108,21.2
2025-02-12,WH002,SKU100,200,17.1
2025-02-13,WH002,SKU100,188,11.4
2025-02-14,WH002,SKU100,166,22.6
2025-02-15,WH002,SKU100,147,19.2
2025-02-16,WH002,SKU100,136,11.0
2025-02-17,WH002,SKU100,117,18.4
2025-02-18,WH002,SKU100,94,23.3
2025-02-19,WH002,SKU100,162,12.8
2025-02-20,WH002,SKU100,150,11.6
2025-02-21,WH002,SKU100,146,4.6
2025-02-22,WH002,SKU100,133,12.6
2025-02-23,WH002,SKU100,108,25.3
2025-02-24,WH002,SKU100,93,15.3
2025-02-25,WH002,SKU100,76,16.9
2025-02-26,WH002,SKU100,164,20.9
2025-02-27,WH002,SKU100,149,15.2
2025-02-28,WH002,SKU100,130,19.3
2025-03-01,WH002,SKU100,113,16.7
2025-03-02,WH002,SKU100,95,17.9
2025-03-03,WH002,SKU100,78,17.1
2025-03-04,WH002,SKU100,58,20.5
2025-03-05,WH002,SKU100,163,17.0
2025-03-06,WH002,SKU100,146,17.5
2025-03-07,WH002,SKU100,126,20.3
2025-03-08,WH002,SKU100,103,22.2
2025-03-09,WH002,SKU100,80,23.3
2025-03-10,WH002,SKU100,63,17.1
2025-03-11,WH002,SKU100,50,13.0
2025-03-12,WH002,SKU100,132,16.8
2025-03-13,WH002,SKU100,112,20.8
2025-03-14,WH002,SKU100,98,13.6
2025-03-15,WH002,SKU100,91,7.4
2025-03-16,WH002,SKU100,72,19.0
2025-03-17,WH002,SKU100,67,4.4
2025-03-18,WH002,SKU100,58,9.6
2025-03-19,WH002,SKU100,163,22.4
2025-03-20,WH002,SKU100,139,23.7
2025-03-21,WH002,SKU100,126,13.1
2025-03-22,WH002,SKU100,101,24.8
2025-03-23,WH002,SKU100,91,10.2
2025-03-24,WH002,SKU100,75,16.2
2025-03-25,WH002,SKU100,71,4.3
2025-03-26,WH002,SKU100,183,18.4
2025-03-27,WH002,SKU100,174,8.4
2025-03-28,WH002,SKU100,159,15.0
2025-03-29,WH002,SKU100,149,10.3
2025-03-30,WH002,SKU100,140,8.9
2025-03-31,WH002,SKU100,131,9.3
2025-04-01,WH002,SKU100,113,17.9
2025-04-02,WH002,SKU100,200,4.8
2025-04-03,WH002,SKU100,176,24.0
2025-04-04,WH002,SKU100,160,15.2
2025-04-05,WH002,SKU100,147,13.8
2025-04-06,WH002,SKU100,123,23.2
2025-04-07,WH002,SKU100,112,11.5
2025-04-08,WH002,SKU100,90,22.2
2025-04-09,WH002,SKU100,195,9.6
2025-04-10,WH002,SKU100,185,9.9
2025-04-11,WH002,SKU100,176,8.9
2025-04-12,WH002,SKU100,150,25.6
2025-04-13,WH002,SKU100,146,4.3
2025-04-14,WH002,SKU100,121,25.3
2025-04-15,WH002,SKU100,114,6.2
2025-04-16,WH002,SKU100,179,24.0
2025-04-17,WH002,SKU100,170,8.2
2025-04-18,WH002,SKU100,145,25.4
2025-04-19,WH002,SKU100,123,22.4
2025-04-20,WH002,SKU100,115,7.4
2025-04-21,WH002,SKU100,103,12.5
2025-04-22,WH002,SKU100,86,17.1
2025-04-23,WH002,SKU100,191,9.1
2025-04-24,WH002,SKU100,166,25.7
2025-04-25,WH002,SKU100,145,20.5
2025-04-26,WH002,SKU100,133,12.5
2025-04-27,WH002,SKU100,124,9.2
2025-04-28,WH002,SKU100,101,22.1
2025-04-29,WH002,SKU100,77,24.8
2025-04-30,WH002,SKU100,160,6.7
2025-05-01,WH002,SKU100,143,16.5
2025-05-02,WH002,SKU100,122,21.5
2025-05-03,WH002,SKU100,117,4.7
2025-05-04,WH002,SKU100,104,13.2
2025-05-05,WH002,SKU100,96,7.9
2025-05-06,WH002,SKU100,76,19.9
2025-05-07,WH002,SKU100,177,16.3
2025-05-08,WH002,SKU100,153,24.1
2025-05-09,WH002,SKU100,134,18.4
2025-05-10,WH002,SKU100,128,6.2
2025-05-11,WH002,SKU100,114,13.6
2025-05-12,WH002,SKU100,94,20.1
2025-05-13,WH002,SKU100,77,17.6
2025-05-14,WH002,SKU100,176,24.5
2025-05-15,WH002,SKU100,155,21.2
2025-05-16,WH002,SKU100,136,19.1
2025-05-17,WH002,SKU100,118,17.3
2025-05-18,WH002,SKU100,104,14.0
2025-05-19,WH002,SKU100,80,24.7
2025-05-20,WH002,SKU100,72,7.5
2025-05-21,WH002,SKU100,149,13.6
2025-05-22,WH002,SKU100,141,8.4
2025-05-23,WH002,SKU100,124,16.5
2025-05-24,WH002,SKU100,114,10.4
2025-05-25,WH002,SKU100,95,18.6
2025-05-26,WH002,SKU100,87,8.0
2025-05-27,WH002,SKU100,71,16.1
2025-05-28,WH002,SKU100,173,13.9
2025-05-29,WH002,SKU100,160,12.9
2025-05-30,WH002,SKU100,141,19.9
2025-05-31,WH002,SKU100,117,23.9
2025-06-01,WH002,SKU100,94,22.9
2025-06-02,WH002,SKU100,67,26.3
2025-06-03,WH002,SKU100,53,14.5
2025-06-04,WH002,SKU100,173,7.9
2025-06-05,WH002,SKU100,155,18.4
2025-06-06,WH002,SKU100,148,7.2
2025-06-07,WH002,SKU100,121,26.4
2025-06-08,WH002,SKU100,116,5.4
2025-06-09,WH002,SKU100,107,8.6
2025-06-10,WH002,SKU100,98,9.3
2025-06-11,WH002,SKU100,169,20.7
2025-06-12,WH002,SKU100,159,10.2
2025-06-13,WH002,SKU100,147,12.1
2025-06-14,WH002,SKU100,140,6.8
2025-06-15,WH002,SKU100,124,15.7
2025-06-16,WH002,SKU100,115,9.0
2025-06-17,WH002,SKU100,106,9.0
2025-06-18,WH002,SKU100,229,11.5
2025-06-19,WH002,SKU100,220,8.7
2025-06-20,WH002,SKU100,194,26.2
2025-06-21,WH002,SKU100,185,8.7
2025-06-22,WH002,SKU100,167,18.2
2025-06-23,WH002,SKU100,152,14.7
2025-06-24,WH002,SKU100,135,17.1
2025-06-25,WH002,SKU100,195,23.9
2025-06-26,WH002,SKU100,189,5.9
2025-06-27,WH002,SKU100,165,23.4
2025-06-28,WH002,SKU100,143,22.2
2025-06-29,WH002,SKU100,128,14.6
2025-06-30,WH002,SKU100,108,20.1
2025-07-01,WH002,SKU100,86,22.4
2025-07-02,WH002,SKU100,164,5.1
2025-07-03,WH002,SKU100,141,23.8
2025-07-04,WH002,SKU100,122,18.7
2025-07-05,WH002,SKU100,108,13.8
2025-07-06,WH002,SKU100,96,12.2
2025-07-07,WH002,SKU100,73,23.2
2025-07-08,WH002,SKU100,51,21.7
2025-07-09,WH002,SKU100,133,23.1
2025-07-10,WH002,SKU100,111,22.3
2025-07-11,WH002,SKU100,103,7.2
2025-07-12,WH002,SKU100,82,21.2
2025-07-13,WH002,SKU100,74,8.7
2025-07-14,WH002,SKU100,66,8.0
2025-07-15,WH002,SKU100,60,5.2
2025-07-16,WH002,SKU100,173,19.5
2025-07-17,WH002,SKU100,161,12.6
2025-07-18,WH002,SKU100,143,17.5
2025-07-19,WH002,SKU100,135,7.9
2025-07-20,WH002,SKU100,118,17.1
2025-07-21,WH002,SKU100,113,4.9
2025-07-22,WH002,SKU100,102,11.8
2025-07-23,WH002,SKU100,209,11.4
2025-07-24,WH002,SKU100,201,7.7
2025-07-25,WH002,SKU100,176,24.7
2025-07-26,WH002,SKU100,170,6.0
2025-07-27,WH002,SKU100,158,12.3
2025-07-28,WH002,SKU100,134,24.5
2025-07-29,WH002,SKU100,126,7.3
2025-07-30,WH002,SKU100,215,7.3
2025-07-31,WH002,SKU100,201,13.9
2025-08-01,WH002,SKU100,190,10.7
2025-08-02,WH002,SKU100,165,25.5
2025-08-03,WH002,SKU100,156,9.0
2025-08-04,WH002,SKU100,150,5.8
2025-08-05,WH002,SKU100,141,8.4
2025-08-06,WH002,SKU100,204,28.8
2025-08-07,WH002,SKU100,197,7.0
2025-08-08,WH002,SKU100,185,11.9
2025-08-09,WH002,SKU100,159,26.3
2025-08-10,WH002,SKU100,148,10.5
2025-08-11,WH002,SKU100,139,9.5
2025-08-12,WH002,SKU100,115,23.7
2025-08-13,WH002,SKU100,187,22.3
2025-08-14,WH002,SKU100,156,30.4
2025-08-15,WH002,SKU100,142,14.3
2025-08-16,WH002,SKU100,116,25.6
2025-08-17,WH002,SKU100,105,11.2
2025-08-18,WH002,SKU100,97,8.0
2025-08-19,WH002,SKU100,83,14.2
2025-08-20,WH002,SKU100,143,20.1
2025-08-21,WH002,SKU100,125,18.1
2025-08-22,WH002,SKU100,112,12.9
2025-08-23,WH002,SKU100,87,25.0
2025-08-24,WH002,SKU100,65,22.6
2025-08-25,WH002,SKU100,56,9.1
2025-08-26,WH002,SKU100,37,19.1
2025-08-27,WH002,SKU100,142,12.5
2025-08-28,WH002,SKU100,120,21.5
2025-08-29,WH002,SKU100,95,25.1
2025-08-30,WH002,SKU100,81,13.8
2025-08-31,WH002,SKU100,57,24.1
2025-09-01,WH002,SKU100,49,8.4
2025-09-02,WH002,SKU100,32,16.5
2025-09-03,WH002,SKU100,139,19.6
2025-09-04,WH002,SKU100,112,26.5
2025-09-05,WH002,SKU100,107,4.9
2025-09-06,WH002,SKU100,99,8.2
2025-09-07,WH002,SKU100,86,12.8
2025-09-08,WH002,SKU100,72,14.6
2025-09-09,WH002,SKU100,44,28.2
2025-09-10,WH002,SKU100,141,29.5
2025-09-11,WH002,SKU100,122,19.4
2025-09-12,WH002,SKU100,105,16.5
2025-09-13,WH002,SKU100,87,17.6
2025-09-14,WH002,SKU100,79,8.7
2025-09-15,WH002,SKU100,65,13.4
2025-09-16,WH002,SKU100,35,30.1
2025-09-17,WH002,SKU100,130,26.8
2025-09-18,WH002,SKU100,104,26.7
2025-09-19,WH002,SKU100,83,20.6
2025-09-20,WH002,SKU100,67,16.0
2025-09-21,WH002,SKU100,52,15.0
2025-09-22,WH002,SKU100,30,22.1
2025-09-23,WH002,SKU100,1,28.6
2025-09-24,WH002,SKU100,99,17.2
2025-09-25,WH002,SKU100,86,13.2
2025-09-26,WH002,SKU100,71,14.5
