Date,SKUID,ForecastQty,ActualQty
2025-01-05,SKU114,249,260
2025-01-05,SKU115,296,294
2025-01-05,SKU116,499,489
2025-01-05,SKU117,183,192
2025-01-05,SKU118,269,279
2025-01-05,SKU119,299,287
2025-01-05,SKU120,158,145
2025-01-05,SKU121,286,281
2025-01-05,SKU122,125,122
2025-01-05,SKU123,295,316
2025-01-05,SKU124,232,247
2025-01-05,SKU125,504,469
2025-01-05,SKU126,280,295
2025-01-05,SKU127,93,89
2025-01-05,SKU128,244,259
2025-01-05,SKU129,375,413
2025-01-06,SKU100,168,165
2025-01-06,SKU101,145,138
2025-01-06,SKU102,137,135
2025-01-06,SKU103,460,426
2025-01-06,SKU104,419,446
2025-01-06,SKU105,380,401
2025-01-06,SKU106,250,234
2025-01-06,SKU107,149,141
2025-01-06,SKU108,97,101
2025-01-06,SKU109,245,269
2025-01-06,SKU110,92,86
2025-01-06,SKU111,328,301
2025-01-06,SKU112,328,315
2025-01-06,SKU113,456,455
2025-01-06,SKU114,419,395
2025-01-06,SKU115,324,327
2025-01-06,SKU116,209,217
2025-01-06,SKU117,118,124
2025-01-06,SKU118,460,464
2025-01-06,SKU119,265,274
2025-01-06,SKU120,230,246
2025-01-06,SKU121,464,488
2025-01-06,SKU122,400,385
2025-01-06,SKU123,85,85
2025-01-06,SKU124,211,203
2025-01-06,SKU125,443,468
2025-01-06,SKU126,443,444
2025-01-06,SKU127,217,230
2025-01-06,SKU128,243,236
2025-01-06,SKU129,365,363
2025-01-07,SKU100,456,458
2025-01-07,SKU101,471,469
2025-01-07,SKU102,171,179
2025-01-07,SKU103,211,234
2025-01-07,SKU104,200,220
2025-01-07,SKU105,238,229
2025-01-07,SKU106,464,465
2025-01-07,SKU107,223,225
2025-01-07,SKU108,190,174
2025-01-07,SKU109,298,324
2025-01-07,SKU110,302,331
2025-01-07,SKU111,99,107
2025-01-07,SKU112,215,235
2025-01-07,SKU113,384,365
2025-01-07,SKU114,495,484
2025-01-07,SKU115,335,310
2025-01-07,SKU116,418,381
2025-01-07,SKU117,362,397
2025-01-07,SKU118,442,470
2025-01-07,SKU119,382,418
2025-01-07,SKU120,331,362
2025-01-07,SKU121,321,310
2025-01-07,SKU122,90,96
2025-01-07,SKU123,470,439
2025-01-07,SKU124,215,199
2025-01-07,SKU125,443,418
2025-01-07,SKU126,139,138
2025-01-07,SKU127,230,216
2025-01-07,SKU128,173,164
2025-01-07,SKU129,402,371
2025-01-08,SKU100,369,389
2025-01-08,SKU101,453,425
2025-01-08,SKU102,98,90
2025-01-08,SKU103,220,217
2025-01-08,SKU104,355,345
2025-01-08,SKU105,374,379
2025-01-08,SKU106,310,320
2025-01-08,SKU107,389,423
2025-01-08,SKU108,301,290
2025-01-08,SKU109,302,285
2025-01-08,SKU110,286,312
2025-01-08,SKU111,152,139
2025-01-08,SKU112,365,343
2025-01-08,SKU113,354,357
2025-01-08,SKU114,335,345
2025-01-08,SKU115,321,306
2025-01-08,SKU116,334,361
2025-01-08,SKU117,435,437
2025-01-08,SKU118,414,391
2025-01-08,SKU119,241,239
2025-01-08,SKU120,120,127
2025-01-08,SKU121,144,140
2025-01-08,SKU122,427,446
2025-01-08,SKU123,311,292
2025-01-08,SKU124,316,313
2025-01-08,SKU125,386,386
2025-01-08,SKU126,109,115
2025-01-08,SKU127,483,483
2025-01-08,SKU128,432,451
2025-01-08,SKU129,416,417
2025-01-09,SKU100,98,102
2025-01-09,SKU101,483,495
2025-01-09,SKU102,515,500
2025-01-09,SKU103,90,98
2025-01-09,SKU104,140,131
2025-01-09,SKU105,377,349
2025-01-09,SKU106,150,153
2025-01-09,SKU107,117,118
2025-01-09,SKU108,414,399
2025-01-09,SKU109,265,248
2025-01-09,SKU110,248,242
2025-01-09,SKU111,323,357
2025-01-09,SKU112,417,403
2025-01-09,SKU113,424,462
2025-01-09,SKU114,420,404
2025-01-09,SKU115,171,165
2025-01-09,SKU116,260,246
2025-01-09,SKU117,267,271
2025-01-09,SKU118,293,290
2025-01-09,SKU119,154,169
2025-01-09,SKU120,406,429
2025-01-09,SKU121,196,198
2025-01-09,SKU122,217,210
2025-01-09,SKU123,235,227
2025-01-09,SKU124,333,306
2025-01-09,SKU125,444,407
2025-01-09,SKU126,334,313
2025-01-09,SKU127,301,327
2025-01-09,SKU128,266,263
2025-01-09,SKU129,99,91
2025-01-10,SKU100,448,427
2025-01-10,SKU101,153,150
2025-01-10,SKU102,96,100
2025-01-10,SKU103,365,376
2025-01-10,SKU104,222,231
2025-01-10,SKU105,168,182
2025-01-10,SKU106,268,267
2025-01-10,SKU107,156,164
2025-01-10,SKU108,242,231
2025-01-10,SKU109,137,138
2025-01-10,SKU110,509,466
2025-01-10,SKU111,465,425
2025-01-10,SKU112,133,126
2025-01-10,SKU113,327,354
2025-01-10,SKU114,478,463
2025-01-10,SKU115,441,406
2025-01-10,SKU116,197,199
2025-01-10,SKU117,354,367
2025-01-10,SKU118,375,411
2025-01-10,SKU119,420,438
2025-01-10,SKU120,137,151
2025-01-10,SKU121,306,332
2025-01-10,SKU122,329,355
2025-01-10,SKU123,461,423
2025-01-10,SKU124,350,356
2025-01-10,SKU125,171,159
2025-01-10,SKU126,337,330
2025-01-10,SKU127,421,433
2025-01-10,SKU128,214,200
2025-01-10,SKU129,270,268
2025-01-11,SKU100,122,115
2025-01-11,SKU101,358,380
2025-01-11,SKU102,442,476
2025-01-11,SKU103,236,221
2025-01-11,SKU104,338,356
2025-01-11,SKU105,448,418
2025-01-11,SKU106,278,263
2025-01-11,SKU107,221,245
2025-01-11,SKU108,150,144
2025-01-11,SKU109,420,461
2025-01-11,SKU110,265,265
2025-01-11,SKU111,318,337
2025-01-11,SKU112,477,452
2025-01-11,SKU113,232,234
2025-01-11,SKU114,347,325
2025-01-11,SKU115,134,135
2025-01-11,SKU116,116,121
2025-01-11,SKU117,137,144
2025-01-11,SKU118,375,360
2025-01-11,SKU119,336,351
2025-01-11,SKU120,275,300
2025-01-11,SKU121,427,415
2025-01-11,SKU122,187,190
2025-01-11,SKU123,269,253
2025-01-11,SKU124,416,453
2025-01-11,SKU125,399,420
2025-01-11,SKU126,294,322
2025-01-11,SKU127,276,301
2025-01-11,SKU128,458,495
2025-01-11,SKU129,371,367
2025-01-12,SKU100,207,194
2025-01-12,SKU101,354,364
2025-01-12,SKU102,206,195
2025-01-12,SKU103,511,499
2025-01-12,SKU104,330,365
2025-01-12,SKU105,414,435
2025-01-12,SKU106,462,439
2025-01-12,SKU107,77,83
2025-01-12,SKU108,407,416
2025-01-12,SKU109,442,404
2025-01-12,SKU110,331,351
2025-01-12,SKU111,236,254
2025-01-12,SKU112,259,246
2025-01-12,SKU113,132,123
2025-01-12,SKU114,476,466
2025-01-12,SKU115,216,219
2025-01-12,SKU116,385,390
2025-01-12,SKU117,467,466
2025-01-12,SKU118,130,136
2025-01-12,SKU119,330,329
2025-01-12,SKU120,187,192
2025-01-12,SKU121,78,83
2025-01-12,SKU122,157,150
2025-01-12,SKU123,127,141
2025-01-12,SKU124,156,169
2025-01-12,SKU125,197,197
2025-01-12,SKU126,238,261
2025-01-12,SKU127,273,303
2025-01-12,SKU128,243,240
2025-01-12,SKU129,455,443
2025-01-13,SKU100,318,348
2025-01-13,SKU101,238,253
2025-01-13,SKU102,350,341
2025-01-13,SKU103,193,179
2025-01-13,SKU104,493,452
2025-01-13,SKU105,146,155
2025-01-13,SKU106,169,181
2025-01-13,SKU107,482,468
2025-01-13,SKU108,487,475
2025-01-13,SKU109,387,368
2025-01-13,SKU110,379,369
2025-01-13,SKU111,386,401
2025-01-13,SKU112,316,320
2025-01-13,SKU113,224,220
2025-01-13,SKU114,112,117
2025-01-13,SKU115,106,109
2025-01-13,SKU116,439,410
2025-01-13,SKU117,384,384
2025-01-13,SKU118,395,363
2025-01-13,SKU119,99,101
2025-01-13,SKU120,169,176
2025-01-13,SKU121,171,157
2025-01-13,SKU122,534,495
2025-01-13,SKU123,123,123
2025-01-13,SKU124,214,206
2025-01-13,SKU125,354,347
2025-01-13,SKU126,218,224
2025-01-13,SKU127,351,386
2025-01-13,SKU128,229,251
2025-01-13,SKU129,417,427
2025-01-14,SKU100,459,496
2025-01-14,SKU101,503,458
2025-01-14,SKU102,423,410
2025-01-14,SKU103,86,89
2025-01-14,SKU104,183,189
2025-01-14,SKU105,214,195
2025-01-14,SKU106,246,231
2025-01-14,SKU107,477,474
2025-01-14,SKU108,316,349
2025-01-14,SKU109,483,472
2025-01-14,SKU110,147,158
2025-01-14,SKU111,423,399
2025-01-14,SKU112,276,304
2025-01-14,SKU113,424,448
2025-01-14,SKU114,236,225
2025-01-14,SKU115,334,353
2025-01-14,SKU116,174,179
2025-01-14,SKU117,333,316
2025-01-14,SKU118,344,350
2025-01-14,SKU119,192,182
2025-01-14,SKU120,189,208
2025-01-14,SKU121,272,270
2025-01-14,SKU122,368,344
2025-01-14,SKU123,438,470
2025-01-14,SKU124,317,342
2025-01-14,SKU125,205,193
2025-01-14,SKU126,91,93
2025-01-14,SKU127,256,271
2025-01-14,SKU128,175,194
2025-01-14,SKU129,458,445
2025-01-15,SKU100,391,360
2025-01-15,SKU101,272,296
2025-01-15,SKU102,216,234
2025-01-15,SKU103,430,407
2025-01-15,SKU104,145,136
2025-01-15,SKU105,319,354
2025-01-15,SKU106,211,203
2025-01-15,SKU107,81,80
2025-01-15,SKU108,274,293
2025-01-15,SKU109,381,348
2025-01-15,SKU110,358,358
2025-01-15,SKU111,88,90
2025-01-15,SKU112,395,405
2025-01-15,SKU113,417,462
2025-01-15,SKU114,212,203
2025-01-15,SKU115,482,475
2025-01-15,SKU116,98,102
2025-01-15,SKU117,382,409
2025-01-15,SKU118,434,436
2025-01-15,SKU119,135,149
2025-01-15,SKU120,216,230
2025-01-15,SKU121,97,101
2025-01-15,SKU122,310,283
2025-01-15,SKU123,189,209
2025-01-15,SKU124,219,226
2025-01-15,SKU125,401,415
2025-01-15,SKU126,264,268
2025-01-15,SKU127,329,305
2025-01-15,SKU128,174,175
2025-01-15,SKU129,489,488
2025-01-16,SKU100,171,165
2025-01-16,SKU101,105,101
2025-01-16,SKU102,288,302
2025-01-16,SKU103,434,423
2025-01-16,SKU104,514,490
2025-01-16,SKU105,88,95
2025-01-16,SKU106,474,480
2025-01-16,SKU107,211,200
2025-01-16,SKU108,300,276
2025-01-16,SKU109,163,158
2025-01-16,SKU110,323,307
2025-01-16,SKU111,341,351
2025-01-16,SKU112,210,222
2025-01-16,SKU113,427,456
2025-01-16,SKU114,338,367
2025-01-16,SKU115,290,308
2025-01-16,SKU116,471,435
2025-01-16,SKU117,131,142
2025-01-16,SKU118,181,168
2025-01-16,SKU119,511,494
2025-01-16,SKU120,267,257
2025-01-16,SKU121,245,228
2025-01-16,SKU122,480,443
2025-01-16,SKU123,472,486
2025-01-16,SKU124,192,182
2025-01-16,SKU125,300,332
2025-01-16,SKU126,266,268
2025-01-16,SKU127,423,393
2025-01-16,SKU128,311,283
2025-01-16,SKU129,342,349
2025-01-17,SKU100,301,301
2025-01-17,SKU101,143,143
2025-01-17,SKU102,156,162
2025-01-17,SKU103,280,257
2025-01-17,SKU104,240,225
2025-01-17,SKU105,441,405
2025-01-17,SKU106,384,400
2025-01-17,SKU107,346,337
2025-01-17,SKU108,350,377
2025-01-17,SKU109,484,448
2025-01-17,SKU110,334,368
2025-01-17,SKU111,112,103
2025-01-17,SKU112,389,413
2025-01-17,SKU113,407,396
2025-01-17,SKU114,404,401
2025-01-17,SKU115,310,327
2025-01-17,SKU116,229,232
2025-01-17,SKU117,158,160
2025-01-17,SKU118,178,184
2025-01-17,SKU119,430,447
2025-01-17,SKU120,153,146
2025-01-17,SKU121,129,134
2025-01-17,SKU122,213,216
2025-01-17,SKU123,100,105
2025-01-17,SKU124,388,395
2025-01-17,SKU125,268,247
2025-01-17,SKU126,186,177
2025-01-17,SKU127,318,319
2025-01-17,SKU128,83,91
2025-01-17,SKU129,343,314
2025-01-18,SKU100,461,471
2025-01-18,SKU101,107,106
2025-01-18,SKU102,347,363
2025-01-18,SKU103,326,310
2025-01-18,SKU104,413,399
2025-01-18,SKU105,126,129
2025-01-18,SKU106,280,267
2025-01-18,SKU107,333,340
2025-01-18,SKU108,91,99
2025-01-18,SKU109,323,322
2025-01-18,SKU110,318,343
2025-01-18,SKU111,159,163
2025-01-18,SKU112,237,233
2025-01-18,SKU113,342,340
2025-01-18,SKU114,231,233
2025-01-18,SKU115,257,249
2025-01-18,SKU116,251,237
2025-01-18,SKU117,443,432
2025-01-18,SKU118,235,215
2025-01-18,SKU119,204,196
2025-01-18,SKU120,167,167
2025-01-18,SKU121,508,476
2025-01-18,SKU122,405,428
2025-01-18,SKU123,403,438
2025-01-18,SKU124,236,240
2025-01-18,SKU125,180,184
2025-01-18,SKU126,344,321
2025-01-18,SKU127,115,111
2025-01-18,SKU128,354,367
2025-01-18,SKU129,340,349
2025-01-19,SKU100,414,440
2025-01-19,SKU101,241,242
2025-01-19,SKU102,508,487
2025-01-19,SKU103,386,373
2025-01-19,SKU104,299,282
2025-01-19,SKU105,96,101
2025-01-19,SKU106,278,257
2025-01-19,SKU107,460,462
2025-01-19,SKU108,338,355
2025-01-19,SKU109,203,219
2025-01-19,SKU110,360,380
2025-01-19,SKU111,331,351
2025-01-19,SKU112,128,131
2025-01-19,SKU113,135,131
2025-01-19,SKU114,395,361
2025-01-19,SKU115,450,414
2025-01-19,SKU116,388,413
2025-01-19,SKU117,232,226
2025-01-19,SKU118,353,373
2025-01-19,SKU119,107,99
2025-01-19,SKU120,184,170
2025-01-19,SKU121,299,283
2025-01-19,SKU122,505,463
2025-01-19,SKU123,89,99
2025-01-19,SKU124,145,134
2025-01-19,SKU125,342,312
2025-01-19,SKU126,357,332
2025-01-19,SKU127,335,338
2025-01-19,SKU128,132,137
2025-01-19,SKU129,391,411
2025-01-20,SKU100,190,174
2025-01-20,SKU101,186,207
2025-01-20,SKU102,323,308
2025-01-20,SKU103,394,378
2025-01-20,SKU104,402,414
2025-01-20,SKU105,388,421
2025-01-20,SKU106,297,287
2025-01-20,SKU107,248,239
2025-01-20,SKU108,224,231
2025-01-20,SKU109,147,148
2025-01-20,SKU110,380,390
2025-01-20,SKU111,337,321
2025-01-20,SKU112,201,191
2025-01-20,SKU113,413,385
2025-01-20,SKU114,309,308
2025-01-20,SKU115,339,368
2025-01-20,SKU116,317,338
2025-01-20,SKU117,158,164
2025-01-20,SKU118,144,139
2025-01-20,SKU119,303,330
2025-01-20,SKU120,450,494
2025-01-20,SKU121,289,292
2025-01-20,SKU122,326,316
2025-01-20,SKU123,89,91
2025-01-20,SKU124,193,191
2025-01-20,SKU125,266,256
2025-01-20,SKU126,126,115
2025-01-20,SKU127,221,226
2025-01-20,SKU128,447,408
2025-01-20,SKU129,297,271
2025-01-21,SKU100,85,81
2025-01-21,SKU101,442,424
2025-01-21,SKU102,291,274
2025-01-21,SKU103,239,257
2025-01-21,SKU104,474,451
2025-01-21,SKU105,411,418
2025-01-21,SKU106,168,185
2025-01-21,SKU107,314,308
2025-01-21,SKU108,98,104
2025-01-21,SKU109,287,304
2025-01-21,SKU110,434,477
2025-01-21,SKU111,211,199
2025-01-21,SKU112,246,243
2025-01-21,SKU113,231,244
2025-01-21,SKU114,326,346
2025-01-21,SKU115,112,111
2025-01-21,SKU116,493,456
2025-01-21,SKU117,301,298
2025-01-21,SKU118,423,409
2025-01-21,SKU119,428,436
2025-01-21,SKU120,254,272
2025-01-21,SKU121,217,203
2025-01-21,SKU122,410,442
2025-01-21,SKU123,110,109
2025-01-21,SKU124,325,351
2025-01-21,SKU125,177,184
2025-01-21,SKU126,331,310
2025-01-21,SKU127,479,450
2025-01-21,SKU128,282,273
2025-01-21,SKU129,109,117
2025-01-22,SKU100,445,436
2025-01-22,SKU101,204,202
2025-01-22,SKU102,320,318
2025-01-22,SKU103,207,213
2025-01-22,SKU104,137,130
2025-01-22,SKU105,500,469
2025-01-22,SKU106,235,240
2025-01-22,SKU107,202,193
2025-01-22,SKU108,394,363
2025-01-22,SKU109,280,293
2025-01-22,SKU110,192,197
2025-01-22,SKU111,372,361
2025-01-22,SKU112,222,211
2025-01-22,SKU113,427,408
2025-01-22,SKU114,481,455
2025-01-22,SKU115,452,448
2025-01-22,SKU116,392,357
2025-01-22,SKU117,103,97
2025-01-22,SKU118,514,498
2025-01-22,SKU119,160,150
2025-01-22,SKU120,411,442
2025-01-22,SKU121,305,313
2025-01-22,SKU122,457,421
2025-01-22,SKU123,297,329
2025-01-22,SKU124,261,290
2025-01-22,SKU125,221,220
2025-01-22,SKU126,358,337
2025-01-22,SKU127,535,492
2025-01-22,SKU128,129,129
2025-01-22,SKU129,399,397
2025-01-23,SKU100,267,274
2025-01-23,SKU101,366,406
2025-01-23,SKU102,358,335
2025-01-23,SKU103,252,249
2025-01-23,SKU104,379,350
2025-01-23,SKU105,467,434
2025-01-23,SKU106,111,103
2025-01-23,SKU107,240,223
2025-01-23,SKU108,89,96
2025-01-23,SKU109,189,186
2025-01-23,SKU110,307,283
2025-01-23,SKU111,348,368
2025-01-23,SKU112,344,356
2025-01-23,SKU113,531,484
2025-01-23,SKU114,352,336
2025-01-23,SKU115,128,130
2025-01-23,SKU116,409,389
2025-01-23,SKU117,459,476
2025-01-23,SKU118,528,481
2025-01-23,SKU119,264,262
2025-01-23,SKU120,181,175
2025-01-23,SKU121,129,123
2025-01-23,SKU122,214,206
2025-01-23,SKU123,154,158
2025-01-23,SKU124,447,458
2025-01-23,SKU125,113,126
2025-01-23,SKU126,277,264
2025-01-23,SKU127,116,124
2025-01-23,SKU128,364,364
2025-01-23,SKU129,121,125
2025-01-24,SKU100,154,166
2025-01-24,SKU101,308,332
2025-01-24,SKU102,217,221
2025-01-24,SKU103,115,119
2025-01-24,SKU104,399,400
2025-01-24,SKU105,289,314
2025-01-24,SKU106,272,282
2025-01-24,SKU107,526,491
2025-01-24,SKU108,318,300
2025-01-24,SKU109,143,149
2025-01-24,SKU110,408,435
2025-01-24,SKU111,309,283
2025-01-24,SKU112,446,435
2025-01-24,SKU113,196,204
2025-01-24,SKU114,471,482
2025-01-24,SKU115,345,368
2025-01-24,SKU116,451,429
2025-01-24,SKU117,448,452
2025-01-24,SKU118,322,304
2025-01-24,SKU119,533,499
2025-01-24,SKU120,310,335
2025-01-24,SKU121,215,209
2025-01-24,SKU122,472,484
2025-01-24,SKU123,330,325
2025-01-24,SKU124,426,434
2025-01-24,SKU125,274,264
2025-01-24,SKU126,439,406
2025-01-24,SKU127,213,207
2025-01-24,SKU128,420,411
2025-01-24,SKU129,438,426
2025-01-25,SKU100,152,157
2025-01-25,SKU101,127,133
2025-01-25,SKU102,420,453
2025-01-25,SKU103,330,313
2025-01-25,SKU104,256,258
2025-01-25,SKU105,431,436
2025-01-25,SKU106,108,102
2025-01-25,SKU107,262,255
2025-01-25,SKU108,178,164
2025-01-25,SKU109,321,344
2025-01-25,SKU110,360,366
2025-01-25,SKU111,478,488
2025-01-25,SKU112,419,407
2025-01-25,SKU113,467,457
2025-01-25,SKU114,377,383
2025-01-25,SKU115,177,189
2025-01-25,SKU116,444,487
2025-01-25,SKU117,331,354
2025-01-25,SKU118,289,314
2025-01-25,SKU119,331,330
2025-01-25,SKU120,376,385
2025-01-25,SKU121,133,138
2025-01-25,SKU122,178,168
2025-01-25,SKU123,251,232
2025-01-25,SKU124,392,424
2025-01-25,SKU125,217,236
2025-01-25,SKU126,152,152
2025-01-25,SKU127,152,150
2025-01-25,SKU128,337,329
2025-01-25,SKU129,445,410
2025-01-26,SKU100,485,497
2025-01-26,SKU101,413,414
2025-01-26,SKU102,304,292
2025-01-26,SKU103,151,165
2025-01-26,SKU104,442,469
2025-01-26,SKU105,196,195
2025-01-26,SKU106,318,314
2025-01-26,SKU107,314,341
2025-01-26,SKU108,480,476
2025-01-26,SKU109,424,467
2025-01-26,SKU110,338,359
2025-01-26,SKU111,486,456
2025-01-26,SKU112,95,96
2025-01-26,SKU113,456,498
2025-01-26,SKU114,468,495
2025-01-26,SKU115,419,432
2025-01-26,SKU116,397,403
2025-01-26,SKU117,452,481
2025-01-26,SKU118,111,110
2025-01-26,SKU119,387,385
2025-01-26,SKU120,219,229
2025-01-26,SKU121,376,343
2025-01-26,SKU122,118,128
2025-01-26,SKU123,120,110
2025-01-26,SKU124,471,439
2025-01-26,SKU125,428,444
2025-01-26,SKU126,416,426
2025-01-26,SKU127,384,403
2025-01-26,SKU128,284,311
2025-01-26,SKU129,360,343
2025-01-27,SKU100,208,191
2025-01-27,SKU101,209,217
2025-01-27,SKU102,365,360
2025-01-27,SKU103,346,328
2025-01-27,SKU104,94,104
2025-01-27,SKU105,284,315
2025-01-27,SKU106,281,313
2025-01-27,SKU107,467,432
2025-01-27,SKU108,173,161
2025-01-27,SKU109,403,415
2025-01-27,SKU110,453,420
2025-01-27,SKU111,289,282
2025-01-27,SKU112,441,466
2025-01-27,SKU113,404,440
2025-01-27,SKU114,110,119
2025-01-27,SKU115,423,428
2025-01-27,SKU116,271,255
2025-01-27,SKU117,146,147
2025-01-27,SKU118,130,125
2025-01-27,SKU119,233,240
2025-01-27,SKU120,290,275
2025-01-27,SKU121,395,426
2025-01-27,SKU122,85,84
2025-01-27,SKU123,270,259
2025-01-27,SKU124,170,157
2025-01-27,SKU125,328,306
2025-01-27,SKU126,121,131
2025-01-27,SKU127,442,453
2025-01-27,SKU128,450,485
2025-01-27,SKU129,116,123
2025-01-28,SKU100,325,333
2025-01-28,SKU101,413,406
2025-01-28,SKU102,94,86
2025-01-28,SKU103,298,278
2025-01-28,SKU104,269,267
2025-01-28,SKU105,350,321
2025-01-28,SKU106,347,380
2025-01-28,SKU107,108,100
2025-01-28,SKU108,231,226
2025-01-28,SKU109,287,292
2025-01-28,SKU110,409,407
2025-01-28,SKU111,203,222
2025-01-28,SKU112,201,184
2025-01-28,SKU113,241,247
2025-01-28,SKU114,426,412
2025-01-28,SKU115,431,437
2025-01-28,SKU116,188,205
2025-01-28,SKU117,319,312
2025-01-28,SKU118,441,421
2025-01-28,SKU119,127,141
2025-01-28,SKU120,79,85
2025-01-28,SKU121,363,344
2025-01-28,SKU122,160,165
2025-01-28,SKU123,227,217
2025-01-28,SKU124,91,95
2025-01-28,SKU125,317,348
2025-01-28,SKU126,367,401
2025-01-28,SKU127,240,264
2025-01-28,SKU128,249,268
2025-01-28,SKU129,385,373
2025-01-29,SKU100,187,194
2025-01-29,SKU101,431,448
2025-01-29,SKU102,249,270
2025-01-29,SKU103,99,106
2025-01-29,SKU104,260,285
2025-01-29,SKU105,236,224
2025-01-29,SKU106,125,124
2025-01-29,SKU107,174,182
2025-01-29,SKU108,377,398
2025-01-29,SKU109,365,332
2025-01-29,SKU110,377,359
2025-01-29,SKU111,90,83
2025-01-29,SKU112,346,357
2025-01-29,SKU113,91,84
2025-01-29,SKU114,405,416
2025-01-29,SKU115,218,237
2025-01-29,SKU116,293,294
2025-01-29,SKU117,424,444
2025-01-29,SKU118,213,198
2025-01-29,SKU119,472,438
2025-01-29,SKU120,124,123
2025-01-29,SKU121,431,406
2025-01-29,SKU122,337,370
2025-01-29,SKU123,192,201
2025-01-29,SKU124,479,490
2025-01-29,SKU125,239,242
2025-01-29,SKU126,169,183
2025-01-29,SKU127,146,159
2025-01-29,SKU128,235,240
2025-01-29,SKU129,446,474
2025-01-30,SKU100,311,342
2025-01-30,SKU101,547,499
