SO,Date,SKUID,Qty,UnitPrice
SO004SKU118,2025-01-05,SKU118,279,578.75
SO004SKU119,2025-01-05,SKU119,287,632.5
SO004SKU120,2025-01-05,SKU120,145,1086.25
SO004SKU121,2025-01-05,SKU121,281,2001.25
SO004SKU122,2025-01-05,SKU122,122,791.25
SO004SKU123,2025-01-05,SKU123,316,1283.75
SO004SKU124,2025-01-05,SKU124,247,2090.0
SO004SKU125,2025-01-05,SKU125,469,2171.25
SO004SKU126,2025-01-05,SKU126,295,1933.75
SO004SKU127,2025-01-05,SKU127,89,1741.25
SO004SKU128,2025-01-05,SKU128,259,792.5
SO004SKU129,2025-01-05,SKU129,413,1346.25
SO005SKU100,2025-01-06,SKU100,165,2161.25
SO005SKU101,2025-01-06,SKU101,138,1245.0
SO005SKU102,2025-01-06,SKU102,135,772.5
SO005SKU103,2025-01-06,SKU103,426,2328.75
SO005SKU104,2025-01-06,SKU104,446,636.25
SO005SKU105,2025-01-06,SKU105,401,1347.5
SO005SKU106,2025-01-06,SKU106,234,1293.75
SO005SKU107,2025-01-06,SKU107,141,1920.0
SO005SKU108,2025-01-06,SKU108,101,2440.0
SO005SKU109,2025-01-06,SKU109,269,2242.5
SO005SKU110,2025-01-06,SKU110,86,1747.5
SO005SKU111,2025-01-06,SKU111,301,1343.75
SO005SKU112,2025-01-06,SKU112,315,1787.5
SO005SKU113,2025-01-06,SKU113,455,2497.5
SO005SKU114,2025-01-06,SKU114,395,1300.0
SO005SKU115,2025-01-06,SKU115,327,866.25
SO005SKU116,2025-01-06,SKU116,217,491.25
SO005SKU117,2025-01-06,SKU117,124,2353.75
SO005SKU118,2025-01-06,SKU118,464,578.75
SO005SKU119,2025-01-06,SKU119,274,632.5
SO005SKU120,2025-01-06,SKU120,246,1086.25
SO005SKU121,2025-01-06,SKU121,488,2001.25
SO005SKU122,2025-01-06,SKU122,385,791.25
SO005SKU123,2025-01-06,SKU123,85,1283.75
SO005SKU124,2025-01-06,SKU124,203,2090.0
SO005SKU125,2025-01-06,SKU125,468,2171.25
SO005SKU126,2025-01-06,SKU126,444,1933.75
SO005SKU127,2025-01-06,SKU127,230,1741.25
SO005SKU128,2025-01-06,SKU128,236,792.5
SO005SKU129,2025-01-06,SKU129,363,1346.25
SO006SKU100,2025-01-07,SKU100,458,2161.25
SO006SKU101,2025-01-07,SKU101,469,1245.0
SO006SKU102,2025-01-07,SKU102,179,772.5
SO006SKU103,2025-01-07,SKU103,234,2328.75
SO006SKU104,2025-01-07,SKU104,220,636.25
SO006SKU105,2025-01-07,SKU105,229,1347.5
SO006SKU106,2025-01-07,SKU106,465,1293.75
SO006SKU107,2025-01-07,SKU107,225,1920.0
SO006SKU108,2025-01-07,SKU108,174,2440.0
SO006SKU109,2025-01-07,SKU109,324,2242.5
SO006SKU110,2025-01-07,SKU110,331,1747.5
SO006SKU111,2025-01-07,SKU111,107,1343.75
SO006SKU112,2025-01-07,SKU112,235,1787.5
SO006SKU113,2025-01-07,SKU113,365,2497.5
SO006SKU114,2025-01-07,SKU114,484,1300.0
SO006SKU115,2025-01-07,SKU115,310,866.25
SO006SKU116,2025-01-07,SKU116,381,491.25
SO006SKU117,2025-01-07,SKU117,397,2353.75
SO006SKU118,2025-01-07,SKU118,470,578.75
SO006SKU119,2025-01-07,SKU119,418,632.5
SO006SKU120,2025-01-07,SKU120,362,1086.25
SO006SKU121,2025-01-07,SKU121,310,2001.25
SO006SKU122,2025-01-07,SKU122,96,791.25
SO006SKU123,2025-01-07,SKU123,439,1283.75
SO006SKU124,2025-01-07,SKU124,199,2090.0
SO006SKU125,2025-01-07,SKU125,418,2171.25
SO006SKU126,2025-01-07,SKU126,138,1933.75
SO006SKU127,2025-01-07,SKU127,216,1741.25
SO006SKU128,2025-01-07,SKU128,164,792.5
SO006SKU129,2025-01-07,SKU129,371,1346.25
SO007SKU100,2025-01-08,SKU100,389,2161.25
SO007SKU101,2025-01-08,SKU101,425,1245.0
SO007SKU102,2025-01-08,SKU102,90,772.5
SO007SKU103,2025-01-08,SKU103,217,2328.75
SO007SKU104,2025-01-08,SKU104,345,636.25
SO007SKU105,2025-01-08,SKU105,379,1347.5
SO007SKU106,2025-01-08,SKU106,320,1293.75
SO007SKU107,2025-01-08,SKU107,423,1920.0
SO007SKU108,2025-01-08,SKU108,290,2440.0
SO007SKU109,2025-01-08,SKU109,285,2242.5
SO007SKU110,2025-01-08,SKU110,312,1747.5
SO007SKU111,2025-01-08,SKU111,139,1343.75
SO007SKU112,2025-01-08,SKU112,343,1787.5
SO007SKU113,2025-01-08,SKU113,357,2497.5
SO007SKU114,2025-01-08,SKU114,345,1300.0
SO007SKU115,2025-01-08,SKU115,306,866.25
SO007SKU116,2025-01-08,SKU116,361,491.25
SO007SKU117,2025-01-08,SKU117,437,2353.75
SO007SKU118,2025-01-08,SKU118,391,578.75
SO007SKU119,2025-01-08,SKU119,239,632.5
SO007SKU120,2025-01-08,SKU120,127,1086.25
SO007SKU121,2025-01-08,SKU121,140,2001.25
SO007SKU122,2025-01-08,SKU122,446,791.25
SO007SKU123,2025-01-08,SKU123,292,1283.75
SO007SKU124,2025-01-08,SKU124,313,2090.0
SO007SKU125,2025-01-08,SKU125,386,2171.25
SO007SKU126,2025-01-08,SKU126,115,1933.75
SO007SKU127,2025-01-08,SKU127,483,1741.25
SO007SKU128,2025-01-08,SKU128,451,792.5
SO007SKU129,2025-01-08,SKU129,417,1346.25
SO008SKU100,2025-01-09,SKU100,102,2161.25
SO008SKU101,2025-01-09,SKU101,495,1245.0
SO008SKU102,2025-01-09,SKU102,500,772.5
SO008SKU103,2025-01-09,SKU103,98,2328.75
SO008SKU104,2025-01-09,SKU104,131,636.25
SO008SKU105,2025-01-09,SKU105,349,1347.5
SO008SKU106,2025-01-09,SKU106,153,1293.75
SO008SKU107,2025-01-09,SKU107,118,1920.0
SO008SKU108,2025-01-09,SKU108,399,2440.0
SO008SKU109,2025-01-09,SKU109,248,2242.5
SO008SKU110,2025-01-09,SKU110,242,1747.5
SO008SKU111,2025-01-09,SKU111,357,1343.75
SO008SKU112,2025-01-09,SKU112,403,1787.5
SO008SKU113,2025-01-09,SKU113,462,2497.5
SO008SKU114,2025-01-09,SKU114,404,1300.0
SO008SKU115,2025-01-09,SKU115,165,866.25
SO008SKU116,2025-01-09,SKU116,246,491.25
SO008SKU117,2025-01-09,SKU117,271,2353.75
SO008SKU118,2025-01-09,SKU118,290,578.75
SO008SKU119,2025-01-09,SKU119,169,632.5
SO008SKU120,2025-01-09,SKU120,429,1086.25
SO008SKU121,2025-01-09,SKU121,198,2001.25
SO008SKU122,2025-01-09,SKU122,210,791.25
SO008SKU123,2025-01-09,SKU123,227,1283.75
SO008SKU124,2025-01-09,SKU124,306,2090.0
SO008SKU125,2025-01-09,SKU125,407,2171.25
SO008SKU126,2025-01-09,SKU126,313,1933.75
SO008SKU127,2025-01-09,SKU127,327,1741.25
SO008SKU128,2025-01-09,SKU128,263,792.5
SO008SKU129,2025-01-09,SKU129,91,1346.25
SO009SKU100,2025-01-10,SKU100,427,2161.25
SO009SKU101,2025-01-10,SKU101,150,1245.0
SO009SKU102,2025-01-10,SKU102,100,772.5
SO009SKU103,2025-01-10,SKU103,376,2328.75
SO009SKU104,2025-01-10,SKU104,231,636.25
SO009SKU105,2025-01-10,SKU105,182,1347.5
SO009SKU106,2025-01-10,SKU106,267,1293.75
SO009SKU107,2025-01-10,SKU107,164,1920.0
SO009SKU108,2025-01-10,SKU108,231,2440.0
SO009SKU109,2025-01-10,SKU109,138,2242.5
SO009SKU110,2025-01-10,SKU110,466,1747.5
SO009SKU111,2025-01-10,SKU111,425,1343.75
SO009SKU112,2025-01-10,SKU112,126,1787.5
SO009SKU113,2025-01-10,SKU113,354,2497.5
SO009SKU114,2025-01-10,SKU114,463,1300.0
SO009SKU115,2025-01-10,SKU115,406,866.25
SO009SKU116,2025-01-10,SKU116,199,491.25
SO009SKU117,2025-01-10,SKU117,367,2353.75
SO009SKU118,2025-01-10,SKU118,411,578.75
SO009SKU119,2025-01-10,SKU119,438,632.5
SO009SKU120,2025-01-10,SKU120,151,1086.25
SO009SKU121,2025-01-10,SKU121,332,2001.25
SO009SKU122,2025-01-10,SKU122,355,791.25
SO009SKU123,2025-01-10,SKU123,423,1283.75
SO009SKU124,2025-01-10,SKU124,356,2090.0
SO009SKU125,2025-01-10,SKU125,159,2171.25
SO009SKU126,2025-01-10,SKU126,330,1933.75
SO009SKU127,2025-01-10,SKU127,433,1741.25
SO009SKU128,2025-01-10,SKU128,200,792.5
SO009SKU129,2025-01-10,SKU129,268,1346.25
SO010SKU100,2025-01-11,SKU100,115,2161.25
SO010SKU101,2025-01-11,SKU101,380,1245.0
SO010SKU102,2025-01-11,SKU102,476,772.5
SO010SKU103,2025-01-11,SKU103,221,2328.75
SO010SKU104,2025-01-11,SKU104,356,636.25
SO010SKU105,2025-01-11,SKU105,418,1347.5
SO010SKU106,2025-01-11,SKU106,263,1293.75
SO010SKU107,2025-01-11,SKU107,245,1920.0
SO010SKU108,2025-01-11,SKU108,144,2440.0
SO010SKU109,2025-01-11,SKU109,461,2242.5
SO010SKU110,2025-01-11,SKU110,265,1747.5
SO010SKU111,2025-01-11,SKU111,337,1343.75
SO010SKU112,2025-01-11,SKU112,452,1787.5
SO010SKU113,2025-01-11,SKU113,234,2497.5
SO010SKU114,2025-01-11,SKU114,325,1300.0
SO010SKU115,2025-01-11,SKU115,135,866.25
SO010SKU116,2025-01-11,SKU116,121,491.25
SO010SKU117,2025-01-11,SKU117,144,2353.75
SO010SKU118,2025-01-11,SKU118,360,578.75
SO010SKU119,2025-01-11,SKU119,351,632.5
SO010SKU120,2025-01-11,SKU120,300,1086.25
SO010SKU121,2025-01-11,SKU121,415,2001.25
SO010SKU122,2025-01-11,SKU122,190,791.25
SO010SKU123,2025-01-11,SKU123,253,1283.75
SO010SKU124,2025-01-11,SKU124,453,2090.0
SO010SKU125,2025-01-11,SKU125,420,2171.25
SO010SKU126,2025-01-11,SKU126,322,1933.75
SO010SKU127,2025-01-11,SKU127,301,1741.25
SO010SKU128,2025-01-11,SKU128,495,792.5
SO010SKU129,2025-01-11,SKU129,367,1346.25
SO011SKU100,2025-01-12,SKU100,194,2161.25
SO011SKU101,2025-01-12,SKU101,364,1245.0
SO011SKU102,2025-01-12,SKU102,195,772.5
SO011SKU103,2025-01-12,SKU103,499,2328.75
SO011SKU104,2025-01-12,SKU104,365,636.25
SO011SKU105,2025-01-12,SKU105,435,1347.5
SO011SKU106,2025-01-12,SKU106,439,1293.75
SO011SKU107,2025-01-12,SKU107,83,1920.0
SO011SKU108,2025-01-12,SKU108,416,2440.0
SO011SKU109,2025-01-12,SKU109,404,2242.5
SO011SKU110,2025-01-12,SKU110,351,1747.5
SO011SKU111,2025-01-12,SKU111,254,1343.75
SO011SKU112,2025-01-12,SKU112,246,1787.5
SO011SKU113,2025-01-12,SKU113,123,2497.5
SO011SKU114,2025-01-12,SKU114,466,1300.0
SO011SKU115,2025-01-12,SKU115,219,866.25
SO011SKU116,2025-01-12,SKU116,390,491.25
SO011SKU117,2025-01-12,SKU117,466,2353.75
SO011SKU118,2025-01-12,SKU118,136,578.75
SO011SKU119,2025-01-12,SKU119,329,632.5
SO011SKU120,2025-01-12,SKU120,192,1086.25
SO011SKU121,2025-01-12,SKU121,83,2001.25
SO011SKU122,2025-01-12,SKU122,150,791.25
SO011SKU123,2025-01-12,SKU123,141,1283.75
SO011SKU124,2025-01-12,SKU124,169,2090.0
SO011SKU125,2025-01-12,SKU125,197,2171.25
SO011SKU126,2025-01-12,SKU126,261,1933.75
SO011SKU127,2025-01-12,SKU127,303,1741.25
SO011SKU128,2025-01-12,SKU128,240,792.5
SO011SKU129,2025-01-12,SKU129,443,1346.25
SO012SKU100,2025-01-13,SKU100,348,2161.25
SO012SKU101,2025-01-13,SKU101,253,1245.0
SO012SKU102,2025-01-13,SKU102,341,772.5
SO012SKU103,2025-01-13,SKU103,179,2328.75
SO012SKU104,2025-01-13,SKU104,452,636.25
SO012SKU105,2025-01-13,SKU105,155,1347.5
SO012SKU106,2025-01-13,SKU106,181,1293.75
SO012SKU107,2025-01-13,SKU107,468,1920.0
SO012SKU108,2025-01-13,SKU108,475,2440.0
SO012SKU109,2025-01-13,SKU109,368,2242.5
SO012SKU110,2025-01-13,SKU110,369,1747.5
SO012SKU111,2025-01-13,SKU111,401,1343.75
SO012SKU112,2025-01-13,SKU112,320,1787.5
SO012SKU113,2025-01-13,SKU113,220,2497.5
SO012SKU114,2025-01-13,SKU114,117,1300.0
SO012SKU115,2025-01-13,SKU115,109,866.25
SO012SKU116,2025-01-13,SKU116,410,491.25
SO012SKU117,2025-01-13,SKU117,384,2353.75
SO012SKU118,2025-01-13,SKU118,363,578.75
SO012SKU119,2025-01-13,SKU119,101,632.5
SO012SKU120,2025-01-13,SKU120,176,1086.25
SO012SKU121,2025-01-13,SKU121,157,2001.25
SO012SKU122,2025-01-13,SKU122,495,791.25
SO012SKU123,2025-01-13,SKU123,123,1283.75
SO012SKU124,2025-01-13,SKU124,206,2090.0
SO012SKU125,2025-01-13,SKU125,347,2171.25
SO012SKU126,2025-01-13,SKU126,224,1933.75
SO012SKU127,2025-01-13,SKU127,386,1741.25
SO012SKU128,2025-01-13,SKU128,251,792.5
SO012SKU129,2025-01-13,SKU129,427,1346.25
SO013SKU100,2025-01-14,SKU100,496,2161.25
SO013SKU101,2025-01-14,SKU101,458,1245.0
SO013SKU102,2025-01-14,SKU102,410,772.5
SO013SKU103,2025-01-14,SKU103,89,2328.75
SO013SKU104,2025-01-14,SKU104,189,636.25
SO013SKU105,2025-01-14,SKU105,195,1347.5
SO013SKU106,2025-01-14,SKU106,231,1293.75
SO013SKU107,2025-01-14,SKU107,474,1920.0
SO013SKU108,2025-01-14,SKU108,349,2440.0
SO013SKU109,2025-01-14,SKU109,472,2242.5
SO013SKU110,2025-01-14,SKU110,158,1747.5
SO013SKU111,2025-01-14,SKU111,399,1343.75
SO013SKU112,2025-01-14,SKU112,304,1787.5
SO013SKU113,2025-01-14,SKU113,448,2497.5
SO013SKU114,2025-01-14,SKU114,225,1300.0
SO013SKU115,2025-01-14,SKU115,353,866.25
SO013SKU116,2025-01-14,SKU116,179,491.25
SO013SKU117,2025-01-14,SKU117,316,2353.75
SO013SKU118,2025-01-14,SKU118,350,578.75
SO013SKU119,2025-01-14,SKU119,182,632.5
SO013SKU120,2025-01-14,SKU120,208,1086.25
SO013SKU121,2025-01-14,SKU121,270,2001.25
SO013SKU122,2025-01-14,SKU122,344,791.25
SO013SKU123,2025-01-14,SKU123,470,1283.75
SO013SKU124,2025-01-14,SKU124,342,2090.0
SO013SKU125,2025-01-14,SKU125,193,2171.25
SO013SKU126,2025-01-14,SKU126,93,1933.75
SO013SKU127,2025-01-14,SKU127,271,1741.25
SO013SKU128,2025-01-14,SKU128,194,792.5
SO013SKU129,2025-01-14,SKU129,445,1346.25
SO014SKU100,2025-01-15,SKU100,360,2161.25
SO014SKU101,2025-01-15,SKU101,296,1245.0
SO014SKU102,2025-01-15,SKU102,234,772.5
SO014SKU103,2025-01-15,SKU103,407,2328.75
SO014SKU104,2025-01-15,SKU104,136,636.25
SO014SKU105,2025-01-15,SKU105,354,1347.5
SO014SKU106,2025-01-15,SKU106,203,1293.75
SO014SKU107,2025-01-15,SKU107,80,1920.0
SO014SKU108,2025-01-15,SKU108,293,2440.0
SO014SKU109,2025-01-15,SKU109,348,2242.5
SO014SKU110,2025-01-15,SKU110,358,1747.5
SO014SKU111,2025-01-15,SKU111,90,1343.75
SO014SKU112,2025-01-15,SKU112,405,1787.5
SO014SKU113,2025-01-15,SKU113,462,2497.5
SO014SKU114,2025-01-15,SKU114,203,1300.0
SO014SKU115,2025-01-15,SKU115,475,866.25
SO014SKU116,2025-01-15,SKU116,102,491.25
SO014SKU117,2025-01-15,SKU117,409,2353.75
SO014SKU118,2025-01-15,SKU118,436,578.75
SO014SKU119,2025-01-15,SKU119,149,632.5
SO014SKU120,2025-01-15,SKU120,230,1086.25
SO014SKU121,2025-01-15,SKU121,101,2001.25
SO014SKU122,2025-01-15,SKU122,283,791.25
SO014SKU123,2025-01-15,SKU123,209,1283.75
SO014SKU124,2025-01-15,SKU124,226,2090.0
SO014SKU125,2025-01-15,SKU125,415,2171.25
SO014SKU126,2025-01-15,SKU126,268,1933.75
SO014SKU127,2025-01-15,SKU127,305,1741.25
SO014SKU128,2025-01-15,SKU128,175,792.5
SO014SKU129,2025-01-15,SKU129,488,1346.25
SO015SKU100,2025-01-16,SKU100,165,2161.25
SO015SKU101,2025-01-16,SKU101,101,1245.0
SO015SKU102,2025-01-16,SKU102,302,772.5
SO015SKU103,2025-01-16,SKU103,423,2328.75
SO015SKU104,2025-01-16,SKU104,490,636.25
SO015SKU105,2025-01-16,SKU105,95,1347.5
SO015SKU106,2025-01-16,SKU106,480,1293.75
SO015SKU107,2025-01-16,SKU107,200,1920.0
SO015SKU108,2025-01-16,SKU108,276,2440.0
SO015SKU109,2025-01-16,SKU109,158,2242.5
SO015SKU110,2025-01-16,SKU110,307,1747.5
SO015SKU111,2025-01-16,SKU111,351,1343.75
SO015SKU112,2025-01-16,SKU112,222,1787.5
SO015SKU113,2025-01-16,SKU113,456,2497.5
SO015SKU114,2025-01-16,SKU114,367,1300.0
SO015SKU115,2025-01-16,SKU115,308,866.25
SO015SKU116,2025-01-16,SKU116,435,491.25
SO015SKU117,2025-01-16,SKU117,142,2353.75
SO015SKU118,2025-01-16,SKU118,168,578.75
SO015SKU119,2025-01-16,SKU119,494,632.5
SO015SKU120,2025-01-16,SKU120,257,1086.25
SO015SKU121,2025-01-16,SKU121,228,2001.25
SO015SKU122,2025-01-16,SKU122,443,791.25
SO015SKU123,2025-01-16,SKU123,486,1283.75
SO015SKU124,2025-01-16,SKU124,182,2090.0
SO015SKU125,2025-01-16,SKU125,332,2171.25
SO015SKU126,2025-01-16,SKU126,268,1933.75
SO015SKU127,2025-01-16,SKU127,393,1741.25
SO015SKU128,2025-01-16,SKU128,283,792.5
SO015SKU129,2025-01-16,SKU129,349,1346.25
SO016SKU100,2025-01-17,SKU100,301,2161.25
SO016SKU101,2025-01-17,SKU101,143,1245.0
SO016SKU102,2025-01-17,SKU102,162,772.5
SO016SKU103,2025-01-17,SKU103,257,2328.75
SO016SKU104,2025-01-17,SKU104,225,636.25
SO016SKU105,2025-01-17,SKU105,405,1347.5
SO016SKU106,2025-01-17,SKU106,400,1293.75
SO016SKU107,2025-01-17,SKU107,337,1920.0
SO016SKU108,2025-01-17,SKU108,377,2440.0
SO016SKU109,2025-01-17,SKU109,448,2242.5
SO016SKU110,2025-01-17,SKU110,368,1747.5
SO016SKU111,2025-01-17,SKU111,103,1343.75
SO016SKU112,2025-01-17,SKU112,413,1787.5
SO016SKU113,2025-01-17,SKU113,396,2497.5
SO016SKU114,2025-01-17,SKU114,401,1300.0
SO016SKU115,2025-01-17,SKU115,327,866.25
SO016SKU116,2025-01-17,SKU116,232,491.25
SO016SKU117,2025-01-17,SKU117,160,2353.75
SO016SKU118,2025-01-17,SKU118,184,578.75
SO016SKU119,2025-01-17,SKU119,447,632.5
SO016SKU120,2025-01-17,SKU120,146,1086.25
SO016SKU121,2025-01-17,SKU121,134,2001.25
SO016SKU122,2025-01-17,SKU122,216,791.25
SO016SKU123,2025-01-17,SKU123,105,1283.75
SO016SKU124,2025-01-17,SKU124,395,2090.0
SO016SKU125,2025-01-17,SKU125,247,2171.25
SO016SKU126,2025-01-17,SKU126,177,1933.75
SO016SKU127,2025-01-17,SKU127,319,1741.25
SO016SKU128,2025-01-17,SKU128,91,792.5
SO016SKU129,2025-01-17,SKU129,314,1346.25
SO017SKU100,2025-01-18,SKU100,471,2161.25
SO017SKU101,2025-01-18,SKU101,106,1245.0
SO017SKU102,2025-01-18,SKU102,363,772.5
SO017SKU103,2025-01-18,SKU103,310,2328.75
SO017SKU104,2025-01-18,SKU104,399,636.25
SO017SKU105,2025-01-18,SKU105,129,1347.5
SO017SKU106,2025-01-18,SKU106,267,1293.75
SO017SKU107,2025-01-18,SKU107,340,1920.0
SO017SKU108,2025-01-18,SKU108,99,2440.0
SO017SKU109,2025-01-18,SKU109,322,2242.5
SO017SKU110,2025-01-18,SKU110,343,1747.5
SO017SKU111,2025-01-18,SKU111,163,1343.75
