ReportID,FactoryID,SKUID,YieldPct,DefectPct
QR000146,FAC004,SKU118,97.48,0.51
QR000147,FAC006,SKU115,99.69,2.81
QR000148,FAC004,SKU128,97.79,0.5
QR000149,FAC003,SKU104,97.81,1.89
QR000150,FAC004,SKU102,96.22,2.43
QR000151,FAC001,SKU107,99.44,2.43
QR000152,FAC002,SKU111,98.0,2.03
QR000153,FAC005,SKU104,98.22,2.84
QR000154,FAC005,SKU108,95.89,1.13
QR000155,FAC004,SKU103,97.52,2.47
QR000156,FAC004,SKU128,95.73,2.74
QR000157,FAC005,SKU119,95.71,1.71
QR000158,FAC002,SKU108,97.11,2.73
QR000159,FAC004,SKU109,97.75,2.6
QR000160,FAC005,SKU111,95.43,2.97
QR000161,FAC005,SKU107,95.23,1.92
QR000162,FAC006,SKU105,97.26,0.56
QR000163,FAC004,SKU100,95.67,2.58
QR000164,FAC004,SKU106,95.24,0.94
QR000165,FAC006,SKU106,97.94,1.84
QR000166,FAC005,SKU124,95.61,0.32
QR000167,FAC006,SKU123,98.84,1.1
QR000168,FAC001,SKU103,95.94,0.75
QR000169,FAC006,SKU118,99.86,0.84
QR000170,FAC001,SKU102,99.78,0.79
QR000171,FAC001,SKU116,98.41,2.6
QR000172,FAC005,SKU123,95.31,2.9
QR000173,FAC006,SKU100,98.73,0.1
QR000174,FAC005,SKU120,97.68,1.45
QR000175,FAC003,SKU127,97.78,1.41
QR000176,FAC002,SKU123,96.97,1.07
QR000177,FAC002,SKU115,98.7,1.41
QR000178,FAC003,SKU101,95.5,2.59
QR000179,FAC005,SKU113,96.03,1.51
QR000180,FAC006,SKU115,95.63,2.35
QR000181,FAC003,SKU117,98.83,1.02
QR000182,FAC006,SKU114,96.08,0.69
QR000183,FAC001,SKU120,99.8,0.05
QR000184,FAC002,SKU110,95.73,2.54
QR000185,FAC003,SKU126,98.11,0.12
QR000186,FAC005,SKU125,95.8,0.82
QR000187,FAC004,SKU118,97.94,0.34
QR000188,FAC003,SKU107,96.69,0.71
QR000189,FAC005,SKU109,99.57,0.92
QR000190,FAC003,SKU128,95.55,2.85
QR000191,FAC005,SKU120,98.57,0.31
QR000192,FAC006,SKU126,99.61,0.84
QR000193,FAC001,SKU128,97.73,0.86
QR000194,FAC006,SKU116,98.93,2.47
QR000195,FAC004,SKU129,96.19,0.56
QR000196,FAC005,SKU114,97.2,1.0
QR000197,FAC002,SKU100,98.02,2.31
QR000198,FAC001,SKU114,95.54,1.41
QR000199,FAC001,SKU121,96.44,0.42
QR000200,FAC006,SKU117,98.06,1.13
QR000201,FAC001,SKU115,97.17,0.96
QR000202,FAC001,SKU104,98.35,0.19
QR000203,FAC004,SKU105,97.41,2.06
QR000204,FAC004,SKU101,96.88,1.12
QR000205,FAC001,SKU110,99.83,0.8
QR000206,FAC003,SKU122,96.26,1.11
QR000207,FAC004,SKU106,95.44,0.64
QR000208,FAC002,SKU104,99.63,2.51
QR000209,FAC005,SKU108,95.39,0.51
QR000210,FAC005,SKU123,98.61,2.26
QR000211,FAC003,SKU123,98.1,1.02
QR000212,FAC004,SKU108,97.49,0.96
QR000213,FAC004,SKU122,95.15,2.85
QR000214,FAC005,SKU104,95.45,1.98
QR000215,FAC004,SKU113,95.62,0.58
QR000216,FAC006,SKU115,98.14,2.38
QR000217,FAC001,SKU111,97.49,2.01
QR000218,FAC006,SKU103,99.75,0.6
QR000219,FAC004,SKU115,95.31,1.46
QR000220,FAC005,SKU125,96.79,2.25
QR000221,FAC001,SKU109,96.86,0.57
QR000222,FAC005,SKU103,98.24,0.26
QR000223,FAC001,SKU117,97.2,2.03
QR000224,FAC004,SKU127,98.52,1.88
QR000225,FAC002,SKU100,97.63,2.07
QR000226,FAC001,SKU102,95.22,1.92
QR000227,FAC004,SKU121,96.45,0.66
QR000228,FAC001,SKU110,97.12,2.97
QR000229,FAC003,SKU124,95.24,2.62
QR000230,FAC004,SKU123,95.28,1.77
QR000231,FAC004,SKU115,96.51,1.53
QR000232,FAC003,SKU109,96.67,0.07
QR000233,FAC001,SKU114,95.23,2.99
QR000234,FAC006,SKU120,96.61,1.75
QR000235,FAC003,SKU121,98.0,2.6
QR000236,FAC004,SKU123,97.54,2.95
QR000237,FAC004,SKU129,96.99,1.12
QR000238,FAC003,SKU122,95.49,1.55
QR000239,FAC001,SKU128,97.23,1.82
QR000240,FAC004,SKU111,95.48,2.93
QR000241,FAC006,SKU115,98.33,2.25
QR000242,FAC005,SKU108,97.55,2.88
QR000243,FAC006,SKU109,96.43,2.89
QR000244,FAC002,SKU122,98.35,1.1
QR000245,FAC006,SKU106,96.69,1.0
QR000246,FAC005,SKU104,96.39,0.11
QR000247,FAC002,SKU125,95.07,1.89
QR000248,FAC004,SKU120,97.31,0.75
QR000249,FAC004,SKU125,96.1,1.59
QR000250,FAC004,SKU125,95.7,0.37
QR000251,FAC003,SKU111,97.03,1.83
QR000252,FAC003,SKU106,96.48,0.83
QR000253,FAC003,SKU114,95.08,2.27
QR000254,FAC002,SKU121,97.43,0.62
QR000255,FAC003,SKU104,95.78,1.0
QR000256,FAC002,SKU109,97.72,0.26
QR000257,FAC003,SKU100,98.22,0.98
QR000258,FAC006,SKU123,97.72,2.96
QR000259,FAC002,SKU113,98.2,0.62
QR000260,FAC002,SKU117,95.63,0.2
QR000261,FAC004,SKU100,96.94,2.78
QR000262,FAC001,SKU121,95.27,1.4
QR000263,FAC001,SKU112,98.86,0.4
QR000264,FAC006,SKU125,99.57,0.13
QR000265,FAC005,SKU120,96.49,0.69
QR000266,FAC001,SKU122,95.7,2.91
QR000267,FAC005,SKU110,95.78,0.43
QR000268,FAC006,SKU103,99.25,1.84
QR000269,FAC006,SKU102,96.36,1.01
QR000270,FAC003,SKU116,95.88,1.27
QR000271,FAC005,SKU119,96.34,1.38
QR000272,FAC002,SKU102,96.14,2.38
QR000273,FAC005,SKU129,99.19,0.46
QR000274,FAC002,SKU128,99.84,0.43
QR000275,FAC001,SKU118,98.81,1.55
QR000276,FAC006,SKU103,99.8,0.8
QR000277,FAC001,SKU112,99.35,2.55
QR000278,FAC001,SKU107,98.92,2.14
QR000279,FAC003,SKU100,96.48,2.29
QR000280,FAC002,SKU108,95.56,1.53
QR000281,FAC005,SKU123,97.72,2.81
QR000282,FAC004,SKU113,96.22,0.85
QR000283,FAC002,SKU117,95.26,1.7
QR000284,FAC003,SKU114,99.25,0.33
QR000285,FAC006,SKU105,96.53,1.23
QR000286,FAC004,SKU102,98.16,0.65
QR000287,FAC006,SKU123,95.48,1.74
QR000288,FAC006,SKU120,98.37,1.48
QR000289,FAC006,SKU104,98.88,1.91
QR000290,FAC004,SKU107,97.12,1.37
QR000291,FAC002,SKU114,99.16,0.45
QR000292,FAC002,SKU113,98.34,0.83
QR000293,FAC005,SKU128,96.89,1.58
QR000294,FAC001,SKU128,98.15,2.19
QR000295,FAC003,SKU122,95.08,2.87
QR000296,FAC002,SKU120,95.19,0.19
QR000297,FAC001,SKU119,98.99,2.87
QR000298,FAC002,SKU122,95.97,0.91
QR000299,FAC005,SKU118,95.78,0.8
QR000300,FAC002,SKU128,99.85,0.59
QR000301,FAC006,SKU103,95.03,1.38
QR000302,FAC004,SKU100,96.39,2.16
QR000303,FAC006,SKU111,99.34,1.87
QR000304,FAC004,SKU121,96.93,0.61
QR000305,FAC006,SKU106,97.61,0.85
QR000306,FAC005,SKU124,98.06,1.97
QR000307,FAC005,SKU106,95.15,2.57
QR000308,FAC001,SKU111,97.55,2.33
QR000309,FAC002,SKU110,97.02,2.61
QR000310,FAC003,SKU104,98.74,0.7
QR000311,FAC002,SKU103,99.23,0.98
QR000312,FAC005,SKU123,95.87,1.45
QR000313,FAC001,SKU110,97.89,0.19
QR000314,FAC006,SKU114,95.92,1.05
QR000315,FAC006,SKU121,99.85,2.3
QR000316,FAC004,SKU129,97.56,1.84
QR000317,FAC001,SKU100,99.26,1.47
QR000318,FAC002,SKU127,97.91,1.45
QR000319,FAC002,SKU100,98.58,2.15
QR000320,FAC006,SKU127,96.93,1.42
QR000321,FAC005,SKU124,97.72,1.97
QR000322,FAC001,SKU105,99.52,2.51
QR000323,FAC004,SKU111,99.17,1.82
QR000324,FAC005,SKU104,98.32,0.51
QR000325,FAC004,SKU125,98.07,2.97
QR000326,FAC006,SKU123,95.24,1.41
QR000327,FAC004,SKU117,97.14,2.81
QR000328,FAC006,SKU121,99.36,1.54
QR000329,FAC004,SKU104,97.99,1.58
QR000330,FAC001,SKU116,95.46,2.94
QR000331,FAC005,SKU122,98.81,0.57
QR000332,FAC005,SKU104,96.43,1.82
QR000333,FAC006,SKU107,96.54,0.93
QR000334,FAC001,SKU118,98.5,0.15
QR000335,FAC002,SKU121,98.08,1.5
QR000336,FAC003,SKU110,99.1,1.36
QR000337,FAC005,SKU120,99.78,2.5
QR000338,FAC006,SKU118,98.75,1.2
QR000339,FAC005,SKU107,98.88,0.11
QR000340,FAC006,SKU123,97.9,0.7
QR000341,FAC002,SKU105,97.81,1.18
QR000342,FAC001,SKU129,97.78,1.9
QR000343,FAC006,SKU115,98.18,1.09
QR000344,FAC002,SKU106,98.7,0.65
QR000345,FAC005,SKU122,97.83,2.2
QR000346,FAC005,SKU123,96.13,1.97
QR000347,FAC002,SKU115,97.05,0.85
QR000348,FAC006,SKU102,99.24,0.6
QR000349,FAC004,SKU116,98.54,0.25
QR000350,FAC003,SKU121,97.23,1.08
QR000351,FAC002,SKU101,97.78,2.45
QR000352,FAC005,SKU128,99.87,1.03
QR000353,FAC002,SKU129,95.27,1.5
QR000354,FAC001,SKU105,95.97,1.74
QR000355,FAC004,SKU103,95.69,0.3
QR000356,FAC002,SKU102,97.0,2.51
QR000357,FAC005,SKU113,95.6,1.59
QR000358,FAC001,SKU115,98.19,1.41
QR000359,FAC001,SKU118,99.46,1.64
QR000360,FAC005,SKU117,99.2,2.36
QR000361,FAC004,SKU120,97.07,1.15
QR000362,FAC006,SKU108,96.77,0.16
QR000363,FAC003,SKU119,99.84,1.01
QR000364,FAC001,SKU102,99.72,1.32
QR000365,FAC004,SKU116,98.38,1.92
QR000366,FAC004,SKU124,98.3,1.76
QR000367,FAC005,SKU128,98.11,2.95
QR000368,FAC004,SKU116,97.41,2.97
QR000369,FAC004,SKU126,97.6,1.93
QR000370,FAC004,SKU108,96.87,2.33
QR000371,FAC006,SKU124,95.1,2.99
QR000372,FAC004,SKU102,98.59,1.73
QR000373,FAC001,SKU110,97.12,1.48
QR000374,FAC003,SKU127,98.87,2.81
QR000375,FAC004,SKU126,95.33,1.73
QR000376,FAC001,SKU110,95.34,2.87
QR000377,FAC002,SKU111,98.0,0.86
QR000378,FAC004,SKU115,96.84,2.02
QR000379,FAC003,SKU110,99.67,2.54
QR000380,FAC005,SKU128,98.65,2.52
QR000381,FAC002,SKU121,99.1,2.68
QR000382,FAC004,SKU116,97.37,2.57
QR000383,FAC002,SKU104,99.02,0.83
QR000384,FAC003,SKU107,96.48,1.5
QR000385,FAC006,SKU107,97.36,2.62
QR000386,FAC001,SKU120,96.57,2.02
QR000387,FAC002,SKU109,96.97,1.09
QR000388,FAC002,SKU103,96.24,2.75
QR000389,FAC004,SKU101,98.33,2.82
QR000390,FAC006,SKU109,97.77,2.3
QR000391,FAC001,SKU115,99.0,0.23
QR000392,FAC001,SKU107,96.02,0.3
QR000393,FAC005,SKU102,98.89,0.12
QR000394,FAC004,SKU117,96.51,2.12
QR000395,FAC005,SKU102,95.58,1.86
QR000396,FAC004,SKU128,98.87,0.15
QR000397,FAC005,SKU104,99.8,2.57
QR000398,FAC006,SKU121,96.73,2.44
QR000399,FAC001,SKU104,96.4,2.7
QR000400,FAC001,SKU107,98.09,1.84
QR000401,FAC003,SKU105,95.21,2.19
QR000402,FAC001,SKU104,97.05,0.87
QR000403,FAC002,SKU111,97.37,1.01
QR000404,FAC005,SKU119,95.39,2.2
QR000405,FAC005,SKU105,96.19,0.4
QR000406,FAC005,SKU107,99.39,2.44
QR000407,FAC002,SKU118,95.11,0.18
QR000408,FAC005,SKU102,95.18,0.13
QR000409,FAC006,SKU109,95.38,1.67
QR000410,FAC003,SKU122,97.8,2.21
QR000411,FAC006,SKU121,99.57,0.72
QR000412,FAC006,SKU127,98.35,0.52
QR000413,FAC002,SKU106,97.31,2.59
QR000414,FAC002,SKU100,95.55,0.58
QR000415,FAC001,SKU120,95.46,1.47
QR000416,FAC006,SKU106,96.32,1.62
QR000417,FAC005,SKU120,96.28,1.87
QR000418,FAC003,SKU108,95.09,1.56
QR000419,FAC004,SKU103,96.68,0.87
QR000420,FAC001,SKU111,95.23,2.77
QR000421,FAC006,SKU108,96.44,1.95
QR000422,FAC001,SKU114,98.4,2.76
QR000423,FAC005,SKU121,99.26,0.44
QR000424,FAC004,SKU126,97.5,2.85
QR000425,FAC001,SKU114,96.83,1.35
QR000426,FAC006,SKU120,96.9,0.13
QR000427,FAC005,SKU101,98.93,0.77
QR000428,FAC004,SKU117,98.22,0.21
QR000429,FAC004,SKU124,96.29,2.82
QR000430,FAC003,SKU109,97.81,0.26
QR000431,FAC005,SKU115,97.08,1.42
QR000432,FAC003,SKU124,99.2,0.33
QR000433,FAC006,SKU117,96.04,2.65
QR000434,FAC003,SKU128,96.29,1.16
QR000435,FAC004,SKU125,97.05,1.65
QR000436,FAC004,SKU128,96.06,0.4
QR000437,FAC002,SKU103,96.26,2.57
QR000438,FAC006,SKU109,97.24,1.14
QR000439,FAC006,SKU101,96.38,1.99
QR000440,FAC003,SKU123,99.64,0.2
QR000441,FAC002,SKU109,95.62,0.88
QR000442,FAC006,SKU108,98.55,1.51
QR000443,FAC006,SKU127,97.08,2.84
QR000444,FAC006,SKU118,99.1,1.16
QR000445,FAC004,SKU113,99.11,0.68
QR000446,FAC002,SKU129,97.06,2.72
QR000447,FAC003,SKU102,99.01,0.96
QR000448,FAC001,SKU105,96.27,1.37
QR000449,FAC006,SKU110,99.64,1.07
QR000450,FAC005,SKU106,97.57,2.95
QR000451,FAC001,SKU122,95.74,2.14
QR000452,FAC003,SKU129,98.91,2.8
QR000453,FAC003,SKU106,99.13,1.68
QR000454,FAC005,SKU124,96.53,0.07
QR000455,FAC004,SKU101,96.3,1.4
QR000456,FAC006,SKU106,96.98,2.82
QR000457,FAC004,SKU108,98.13,2.67
QR000458,FAC003,SKU124,98.36,1.2
QR000459,FAC006,SKU103,97.47,2.04
QR000460,FAC002,SKU127,96.68,2.73
QR000461,FAC005,SKU121,95.24,1.12
QR000462,FAC002,SKU113,98.57,0.31
QR000463,FAC002,SKU123,98.71,1.82
QR000464,FAC002,SKU125,99.41,1.15
QR000465,FAC006,SKU119,95.17,0.12
QR000466,FAC004,SKU119,99.29,2.03
QR000467,FAC006,SKU104,96.6,2.89
QR000468,FAC004,SKU107,98.98,2.52
QR000469,FAC001,SKU129,98.87,1.13
QR000470,FAC001,SKU127,96.81,1.81
QR000471,FAC002,SKU127,98.72,2.39
QR000472,FAC002,SKU100,97.57,2.28
QR000473,FAC005,SKU120,95.12,2.57
QR000474,FAC004,SKU128,96.66,0.48
QR000475,FAC004,SKU119,96.72,1.0
QR000476,FAC006,SKU123,96.61,2.57
QR000477,FAC005,SKU112,96.34,0.98
QR000478,FAC001,SKU102,99.52,1.04
QR000479,FAC002,SKU123,97.59,2.76
QR000480,FAC002,SKU115,99.41,0.68
QR000481,FAC005,SKU115,96.58,2.44
QR000482,FAC002,SKU122,96.73,1.42
QR000483,FAC003,SKU101,97.98,2.64
QR000484,FAC004,SKU125,98.19,1.85
QR000485,FAC001,SKU117,96.05,0.55
QR000486,FAC004,SKU111,96.44,2.42
QR000487,FAC003,SKU107,97.97,2.64
QR000488,FAC004,SKU115,98.05,1.71
QR000489,FAC003,SKU117,99.15,0.78
QR000490,FAC006,SKU129,99.45,2.85
QR000491,FAC002,SKU112,95.45,1.75
QR000492,FAC004,SKU118,99.11,2.35
QR000493,FAC005,SKU103,98.93,2.31
QR000494,FAC004,SKU127,96.21,2.82
QR000495,FAC004,SKU122,98.27,2.55
QR000496,FAC003,SKU100,99.33,2.42
QR000497,FAC005,SKU104,95.07,2.35
QR000498,FAC001,SKU117,97.88,0.79
QR000499,FAC002,SKU114,99.05,1.42
QR000500,FAC005,SKU120,95.41,1.43
QR000501,FAC006,SKU115,95.35,2.98
QR000502,FAC006,SKU121,95.9,1.62
QR000503,FAC002,SKU118,95.51,1.57
QR000504,FAC005,SKU101,96.34,2.38
QR000505,FAC005,SKU120,99.47,0.19
QR000506,FAC006,SKU129,98.08,2.92
QR000507,FAC002,SKU125,99.35,1.33
QR000508,FAC003,SKU105,97.17,1.5
QR000509,FAC006,SKU105,95.37,2.5
QR000510,FAC006,SKU104,99.2,1.76
QR000511,FAC003,SKU114,95.78,2.34
QR000512,FAC001,SKU102,97.51,0.55
QR000513,FAC001,SKU117,98.29,0.41
QR000514,FAC003,SKU109,98.64,2.35
QR000515,FAC006,SKU106,98.58,2.47
QR000516,FAC006,SKU106,95.23,2.07
QR000517,FAC005,SKU112,96.23,2.53
QR000518,FAC005,SKU116,96.08,2.67
QR000519,FAC003,SKU105,97.41,2.44
QR000520,FAC004,SKU106,98.44,2.99
QR000521,FAC003,SKU101,97.14,0.43
QR000522,FAC004,SKU107,96.25,0.96
QR000523,FAC004,SKU110,99.06,0.28
QR000524,FAC004,SKU116,95.7,1.55
QR000525,FAC004,SKU110,99.6,1.62
QR000526,FAC006,SKU107,95.99,2.91
QR000527,FAC003,SKU123,99.45,0.33
QR000528,FAC003,SKU115,97.22,0.4
QR000529,FAC005,SKU123,97.86,0.67
QR000530,FAC006,SKU100,97.63,1.25
QR000531,FAC003,SKU120,95.28,2.18
QR000532,FAC003,SKU118,97.18,1.45
QR000533,FAC001,SKU113,96.65,0.06
QR000534,FAC003,SKU129,97.76,2.36
QR000535,FAC005,SKU128,98.39,2.07
QR000536,FAC005,SKU109,95.44,0.29
QR000537,FAC006,SKU110,95.62,0.72
QR000538,FAC001,SKU117,95.9,2.06
QR000539,FAC002,SKU116,99.76,2.68
QR000540,FAC006,SKU108,96.75,0.81
QR000541,FAC001,SKU102,97.09,0.82
QR000542,FAC005,SKU103,99.23,1.28
QR000543,FAC002,SKU112,96.14,1.8
QR000544,FAC001,SKU121,95.66,1.06
QR000545,FAC005,SKU110,95.72,0.64
QR000546,FAC001,SKU105,98.74,0.06
QR000547,FAC001,SKU125,95.58,0.41
QR000548,FAC003,SKU126,99.42,1.46
QR000549,FAC005,SKU104,98.98,2.06
QR000550,FAC001,SKU116,97.94,1.35
QR000551,FAC004,SKU110,98.95,1.54
QR000552,FAC004,SKU109,95.65,0.77
QR000553,FAC002,SKU124,98.01,1.72
QR000554,FAC002,SKU125,97.02,1.07
QR000555,FAC006,SKU126,99.89,2.13
QR000556,FAC004,SKU106,95.53,2.79
QR000557,FAC004,SKU118,95.52,0.2
QR000558,FAC002,SKU125,97.14,0.87
QR000559,FAC001,SKU101,98.48,2.7
QR000560,FAC004,SKU120,98.15,1.04
QR000561,FAC003,SKU113,98.68,0.32
QR000562,FAC002,SKU111,95.32,0.24
QR000563,FAC002,SKU107,96.86,0.81
QR000564,FAC001,SKU126,99.07,1.39
QR000565,FAC002,SKU109,95.21,1.24
QR000566,FAC005,SKU124,99.3,1.24
QR000567,FAC003,SKU124,97.3,0.72
QR000568,FAC001,SKU125,95.58,2.37
QR000569,FAC001,SKU128,95.84,0.3
QR000570,FAC006,SKU116,95.55,0.37
QR000571,FAC005,SKU117,97.5,1.88
QR000572,FAC006,SKU113,99.67,1.83
QR000573,FAC006,SKU125,97.9,1.65
QR000574,FAC002,SKU123,99.88,0.74
QR000575,FAC002,SKU116,98.18,2.62
QR000576,FAC001,SKU125,96.87,1.4
QR000577,FAC003,SKU122,95.25,0.06
QR000578,FAC005,SKU104,98.32,0.24
QR000579,FAC001,SKU118,95.98,1.69
QR000580,FAC005,SKU108,98.18,0.6
QR000581,FAC002,SKU121,97.58,2.37
QR000582,FAC005,SKU113,99.6,2.65
QR000583,FAC001,SKU126,96.26,2.8
QR000584,FAC003,SKU109,99.46,0.2
QR000585,FAC005,SKU112,99.56,1.18
QR000586,FAC005,SKU116,96.9,0.13
QR000587,FAC001,SKU128,98.1,2.5
QR000588,FAC001,SKU114,96.18,2.24
QR000589,FAC005,SKU112,96.32,2.47
QR000590,FAC002,SKU108,96.62,2.88
QR000591,FAC005,SKU112,98.38,1.89
QR000592,FAC005,SKU105,98.77,1.29
QR000593,FAC005,SKU114,99.25,1.15
QR000594,FAC002,SKU124,99.79,1.89
QR000595,FAC005,SKU118,95.05,1.8
QR000596,FAC005,SKU102,95.65,2.0
QR000597,FAC003,SKU119,99.04,2.2
QR000598,FAC002,SKU108,95.75,2.17
QR000599,FAC005,SKU102,99.71,2.44
QR000600,FAC001,SKU129,97.76,0.85
QR000601,FAC001,SKU105,98.29,2.88
QR000602,FAC006,SKU109,97.27,0.05
QR000603,FAC002,SKU100,96.38,0.53
QR000604,FAC003,SKU102,98.54,0.9
QR000605,FAC003,SKU122,96.86,0.76
