PO,SupplierID,ComponentID,Qty,OrderDate,LeadTimeDays
PO000216,SUP007,COMP021,5019,2025-08-17,14
PO000217,SUP009,COMP030,14202,2025-10-14,25
PO000218,SUP004,COMP031,1596,2025-01-31,25
PO000219,SUP006,COMP013,10116,2025-12-23,7
PO000220,SUP006,COMP038,1403,2025-08-09,25
PO000221,SUP008,COMP030,2472,2025-10-13,13
PO000222,SUP004,COMP026,533,2025-11-22,6
PO000223,SUP008,COMP019,4176,2025-12-25,3
PO000224,SUP005,COMP004,3085,2025-06-29,15
PO000225,SUP001,COMP003,5308,2025-03-03,9
PO000226,SUP002,COMP027,11675,2025-07-23,18
PO000227,SUP008,COMP023,2919,2025-09-03,3
PO000228,SUP008,COMP008,3051,2025-08-18,21
PO000229,SUP008,COMP007,7693,2025-08-09,9
PO000230,SUP006,COMP001,7224,2025-06-01,8
PO000231,SUP008,COMP011,9830,2025-11-08,3
PO000232,SUP005,COMP014,8884,2025-10-08,23
PO000233,SUP002,COMP032,12284,2025-07-28,17
PO000234,SUP007,COMP009,14665,2025-03-27,17
PO000235,SUP001,COMP010,12595,2025-06-28,12
PO000236,SUP004,COMP005,6992,2025-11-24,10
PO000237,SUP010,COMP005,5719,2025-09-19,12
PO000238,SUP007,COMP018,8405,2025-03-06,13
PO000239,SUP007,COMP004,14035,2025-05-25,15
PO000240,SUP008,COMP033,3081,2025-12-01,4
PO000241,SUP004,COMP028,10663,2025-01-11,15
PO000242,SUP002,COMP021,12133,2025-12-26,14
PO000243,SUP001,COMP012,6936,2025-02-03,10
PO000244,SUP005,COMP002,11994,2025-11-16,18
PO000245,SUP004,COMP006,14674,2025-03-11,7
PO000246,SUP001,COMP028,6789,2025-08-13,16
PO000247,SUP007,COMP021,5193,2025-12-02,3
PO000248,SUP006,COMP015,12556,2025-11-22,8
PO000249,SUP005,COMP011,10776,2025-11-30,6
PO000250,SUP007,COMP037,5047,2025-04-24,13
PO000251,SUP004,COMP011,8701,2025-08-11,5
PO000252,SUP008,COMP036,11404,2025-01-07,14
PO000253,SUP009,COMP005,4428,2025-09-23,4
PO000254,SUP006,COMP029,4175,2025-04-06,6
PO000255,SUP004,COMP025,13210,2025-08-16,20
PO000256,SUP009,COMP025,5359,2025-07-02,13
PO000257,SUP006,COMP009,7197,2025-02-26,13
PO000258,SUP002,COMP002,7716,2025-01-06,14
PO000259,SUP006,COMP032,637,2025-07-06,8
PO000260,SUP010,COMP024,1091,2025-10-15,15
PO000261,SUP009,COMP032,13571,2025-05-17,12
PO000262,SUP002,COMP009,13155,2025-04-08,13
PO000263,SUP010,COMP038,14219,2025-12-24,20
PO000264,SUP010,COMP028,11244,2025-03-30,13
PO000265,SUP009,COMP026,10276,2025-03-19,15
PO000266,SUP004,COMP021,7559,2025-01-13,4
PO000267,SUP007,COMP012,5984,2025-12-07,14
PO000268,SUP002,COMP024,1931,2025-09-05,21
PO000269,SUP008,COMP024,1737,2025-10-27,9
PO000270,SUP008,COMP034,4603,2025-10-29,13
PO000271,SUP004,COMP005,14182,2025-03-30,17
PO000272,SUP004,COMP018,13037,2025-05-09,13
PO000273,SUP009,COMP002,11461,2025-02-03,22
PO000274,SUP008,COMP028,11767,2025-03-23,6
PO000275,SUP004,COMP018,7330,2025-02-15,15
PO000276,SUP005,COMP025,1760,2025-06-13,7
PO000277,SUP007,COMP022,4567,2025-03-19,7
PO000278,SUP003,COMP017,14897,2025-08-19,4
PO000279,SUP009,COMP007,539,2025-02-24,11
PO000280,SUP009,COMP007,3249,2025-10-26,17
PO000281,SUP002,COMP040,9648,2025-10-02,11
PO000282,SUP001,COMP036,10348,2025-12-04,11
PO000283,SUP004,COMP029,13083,2025-06-04,20
PO000284,SUP002,COMP009,7083,2025-09-21,6
PO000285,SUP008,COMP039,4591,2025-01-05,3
PO000286,SUP009,COMP002,5802,2025-09-21,20
PO000287,SUP010,COMP039,14797,2025-01-07,13
PO000288,SUP009,COMP003,9453,2025-03-03,11
PO000289,SUP001,COMP013,4049,2025-05-25,25
PO000290,SUP001,COMP022,1046,2025-10-11,6
PO000291,SUP001,COMP022,6671,2025-12-30,10
PO000292,SUP006,COMP034,12307,2025-12-03,16
PO000293,SUP010,COMP038,1123,2025-11-21,8
PO000294,SUP002,COMP016,1622,2025-02-19,16
PO000295,SUP007,COMP037,5471,2025-08-03,3
PO000296,SUP003,COMP005,3133,2025-05-29,16
PO000297,SUP008,COMP028,13210,2025-05-13,7
PO000298,SUP009,COMP008,2941,2025-12-28,24
PO000299,SUP006,COMP037,9080,2025-04-08,15
PO000300,SUP003,COMP004,7988,2025-05-17,22
PO000301,SUP009,COMP036,13335,2025-05-15,21
PO000302,SUP006,COMP039,1726,2025-03-30,15
PO000303,SUP001,COMP038,2935,2025-01-01,10
PO000304,SUP004,COMP006,12361,2025-05-13,16
PO000305,SUP006,COMP027,11753,2025-07-01,18
PO000306,SUP002,COMP027,6901,2025-07-01,18
PO000307,SUP009,COMP007,3958,2025-01-12,12
PO000308,SUP010,COMP040,6158,2025-01-30,12
PO000309,SUP004,COMP033,9835,2025-12-12,15
PO000310,SUP005,COMP007,7019,2025-05-19,14
PO000311,SUP001,COMP034,6817,2025-03-15,25
PO000312,SUP010,COMP021,3613,2025-03-08,7
PO000313,SUP004,COMP002,8229,2025-03-17,11
PO000314,SUP009,COMP032,6816,2025-05-11,6
PO000315,SUP003,COMP027,2117,2025-04-22,24
PO000316,SUP010,COMP024,13848,2025-07-05,18
PO000317,SUP005,COMP021,9414,2025-07-23,6
PO000318,SUP009,COMP001,11769,2025-06-15,19
PO000319,SUP004,COMP037,4520,2025-06-09,4
PO000320,SUP009,COMP015,6545,2025-05-19,23
PO000321,SUP005,COMP010,11564,2025-11-24,18
PO000322,SUP009,COMP034,6281,2025-10-17,20
PO000323,SUP009,COMP008,10158,2025-03-30,3
PO000324,SUP007,COMP040,6776,2025-07-10,15
PO000325,SUP010,COMP013,3412,2025-07-09,24
PO000326,SUP010,COMP027,13774,2025-03-14,17
PO000327,SUP007,COMP011,2775,2025-05-03,16
PO000328,SUP009,COMP016,1858,2025-03-31,18
PO000329,SUP006,COMP015,4666,2025-03-04,20
PO000330,SUP004,COMP040,12616,2025-11-07,25
PO000331,SUP006,COMP022,10900,2025-08-29,20
PO000332,SUP001,COMP011,13335,2025-03-10,19
PO000333,SUP001,COMP006,14604,2025-08-21,18
PO000334,SUP002,COMP002,7389,2025-03-08,21
PO000335,SUP005,COMP024,14713,2025-01-10,7
PO000336,SUP007,COMP037,5190,2025-05-17,17
PO000337,SUP004,COMP024,11427,2025-04-20,11
PO000338,SUP002,COMP019,11911,2025-05-07,22
PO000339,SUP002,COMP002,12673,2025-04-22,8
PO000340,SUP004,COMP008,14049,2025-09-28,16
PO000341,SUP007,COMP030,14536,2025-10-21,23
PO000342,SUP001,COMP028,7414,2025-11-24,18
PO000343,SUP005,COMP031,8398,2025-11-27,23
PO000344,SUP003,COMP004,12172,2025-02-19,5
PO000345,SUP001,COMP019,525,2025-10-10,10
PO000346,SUP009,COMP017,4545,2025-08-28,20
PO000347,SUP003,COMP026,792,2025-02-13,23
PO000348,SUP009,COMP029,8180,2025-12-31,18
PO000349,SUP010,COMP023,11057,2025-04-24,9
PO000350,SUP005,COMP010,2683,2025-06-16,9
PO000351,SUP010,COMP015,10591,2025-03-08,7
PO000352,SUP005,COMP009,6399,2025-09-10,18
PO000353,SUP008,COMP012,7970,2025-08-22,11
PO000354,SUP006,COMP029,11550,2025-06-23,4
PO000355,SUP003,COMP007,11286,2025-09-24,19
PO000356,SUP006,COMP012,2027,2025-02-21,12
PO000357,SUP009,COMP020,7577,2025-01-18,10
PO000358,SUP007,COMP013,9203,2025-04-28,21
PO000359,SUP007,COMP035,8514,2025-10-05,19
PO000360,SUP005,COMP012,13792,2025-01-09,24
PO000361,SUP005,COMP030,5926,2025-12-19,23
PO000362,SUP010,COMP036,4540,2025-07-08,24
PO000363,SUP009,COMP039,5596,2025-08-17,18
PO000364,SUP001,COMP025,9940,2025-12-26,10
PO000365,SUP010,COMP012,9121,2025-06-24,10
PO000366,SUP003,COMP004,2961,2025-06-12,12
PO000367,SUP007,COMP006,14462,2025-08-03,25
PO000368,SUP008,COMP038,5248,2025-07-30,17
PO000369,SUP008,COMP034,11387,2025-02-04,19
PO000370,SUP010,COMP034,13400,2025-08-11,9
PO000371,SUP007,COMP006,14805,2025-04-26,21
PO000372,SUP006,COMP040,12274,2025-05-29,23
PO000373,SUP006,COMP038,2712,2025-12-27,5
PO000374,SUP002,COMP036,5993,2025-08-13,8
PO000375,SUP004,COMP022,10827,2025-01-27,5
PO000376,SUP010,COMP018,8046,2025-04-20,18
PO000377,SUP008,COMP037,7422,2025-03-12,15
PO000378,SUP004,COMP033,13311,2025-10-26,15
PO000379,SUP006,COMP019,13046,2025-10-16,22
PO000380,SUP008,COMP030,9842,2025-02-13,25
PO000381,SUP008,COMP036,10773,2025-11-20,7
PO000382,SUP003,COMP002,1220,2025-10-09,25
PO000383,SUP002,COMP002,13426,2025-01-16,6
PO000384,SUP005,COMP012,8767,2025-07-28,24
PO000385,SUP007,COMP039,1445,2025-07-22,8
PO000386,SUP006,COMP006,5772,2025-09-08,13
PO000387,SUP010,COMP022,2264,2025-05-10,21
PO000388,SUP001,COMP037,11957,2025-07-23,17
PO000389,SUP002,COMP001,11375,2025-09-19,3
PO000390,SUP001,COMP017,10840,2025-06-30,19
PO000391,SUP008,COMP012,4971,2025-03-22,24
PO000392,SUP003,COMP031,14554,2025-12-11,23
PO000393,SUP005,COMP038,6956,2025-08-05,14
PO000394,SUP003,COMP040,5372,2025-09-22,9
PO000395,SUP001,COMP023,2383,2025-08-22,6
PO000396,SUP010,COMP030,3044,2025-06-19,5
PO000397,SUP003,COMP014,14666,2025-05-12,9
PO000398,SUP004,COMP021,4301,2025-08-10,17
PO000399,SUP006,COMP029,11638,2025-09-05,18
PO000400,SUP008,COMP014,4607,2025-03-08,15
PO000401,SUP006,COMP035,14495,2025-09-04,13
PO000402,SUP001,COMP014,11405,2025-02-05,3
PO000403,SUP005,COMP038,7669,2025-11-03,5
PO000404,SUP005,COMP001,8205,2025-09-02,5
PO000405,SUP003,COMP033,988,2025-07-31,5
PO000406,SUP010,COMP039,1077,2025-09-04,11
PO000407,SUP007,COMP026,12099,2025-07-31,22
PO000408,SUP008,COMP018,8275,2025-03-19,5
PO000409,SUP008,COMP008,12799,2025-03-29,12
PO000410,SUP004,COMP024,6890,2025-08-05,19
PO000411,SUP004,COMP004,4072,2025-03-20,14
PO000412,SUP004,COMP025,14386,2025-10-21,14
PO000413,SUP003,COMP024,5839,2025-09-30,17
PO000414,SUP007,COMP032,3889,2025-06-13,3
PO000415,SUP008,COMP036,12939,2025-02-17,4
PO000416,SUP008,COMP012,9062,2025-12-19,10
PO000417,SUP010,COMP020,13798,2025-08-25,15
PO000418,SUP005,COMP027,12774,2025-12-14,5
PO000419,SUP003,COMP025,1944,2025-05-14,22
PO000420,SUP010,COMP014,11252,2025-07-27,24
PO000421,SUP004,COMP007,13131,2025-10-21,15
PO000422,SUP003,COMP029,5968,2025-07-21,25
PO000423,SUP005,COMP017,4153,2025-10-25,4
PO000424,SUP010,COMP021,1542,2025-11-19,22
PO000425,SUP006,COMP026,7068,2025-04-22,3
PO000426,SUP001,COMP026,3790,2025-07-19,7
PO000427,SUP002,COMP004,6376,2025-12-14,5
PO000428,SUP007,COMP017,1425,2025-08-17,19
PO000429,SUP008,COMP004,14772,2025-06-03,19
PO000430,SUP002,COMP006,3850,2025-12-01,14
PO000431,SUP004,COMP031,12765,2025-11-20,24
PO000432,SUP004,COMP039,7309,2025-07-06,8
PO000433,SUP008,COMP011,13040,2025-11-01,13
PO000434,SUP010,COMP035,6931,2025-08-14,17
PO000435,SUP008,COMP004,5982,2025-07-04,12
PO000436,SUP009,COMP038,10080,2025-01-19,18
PO000437,SUP002,COMP012,11860,2025-10-28,22
PO000438,SUP007,COMP039,13043,2025-11-04,6
PO000439,SUP006,COMP019,12031,2025-10-09,8
PO000440,SUP008,COMP001,1313,2025-12-03,7
PO000441,SUP010,COMP016,4053,2025-12-23,6
PO000442,SUP004,COMP009,6907,2025-09-18,21
PO000443,SUP004,COMP031,13859,2025-05-15,16
PO000444,SUP001,COMP011,1554,2025-05-08,16
PO000445,SUP009,COMP035,5204,2025-02-08,14
PO000446,SUP008,COMP031,1869,2025-12-21,7
PO000447,SUP010,COMP005,9122,2025-05-17,8
PO000448,SUP006,COMP005,12336,2025-10-30,14
PO000449,SUP007,COMP006,8248,2025-08-12,24
PO000450,SUP006,COMP022,9641,2025-11-04,8
PO000451,SUP003,COMP015,11849,2025-07-08,14
PO000452,SUP003,COMP035,5794,2025-10-12,18
PO000453,SUP001,COMP028,3694,2025-01-03,24
PO000454,SUP003,COMP010,9461,2025-04-01,22
PO000455,SUP004,COMP016,6346,2025-03-15,20
PO000456,SUP008,COMP034,10534,2025-09-12,6
PO000457,SUP006,COMP013,6246,2025-11-03,23
PO000458,SUP007,COMP020,8436,2025-03-22,16
PO000459,SUP009,COMP020,14434,2025-09-13,11
PO000460,SUP007,COMP018,11573,2025-07-04,13
PO000461,SUP001,COMP030,11714,2025-03-19,19
PO000462,SUP004,COMP007,12922,2025-01-06,6
PO000463,SUP009,COMP023,12394,2025-12-17,4
PO000464,SUP009,COMP035,1304,2025-10-04,18
PO000465,SUP006,COMP026,12624,2025-06-08,14
PO000466,SUP001,COMP022,9395,2025-02-26,23
PO000467,SUP001,COMP021,9179,2025-01-06,6
PO000468,SUP001,COMP036,11014,2025-10-12,24
PO000469,SUP007,COMP032,10240,2025-09-09,11
PO000470,SUP005,COMP032,7631,2025-02-10,21
PO000471,SUP004,COMP029,9206,2025-10-08,16
PO000472,SUP007,COMP013,14099,2025-07-16,23
PO000473,SUP005,COMP025,12997,2025-06-19,10
PO000474,SUP004,COMP015,5420,2025-08-16,17
PO000475,SUP005,COMP037,7191,2025-04-28,9
PO000476,SUP008,COMP037,14600,2025-03-17,7
PO000477,SUP007,COMP011,8724,2025-02-28,22
PO000478,SUP002,COMP023,508,2025-04-03,9
PO000479,SUP008,COMP019,3887,2025-10-09,23
PO000480,SUP008,COMP016,5223,2025-06-10,4
PO000481,SUP006,COMP011,2389,2025-11-04,12
PO000482,SUP001,COMP021,10877,2025-01-02,11
PO000483,SUP008,COMP009,12813,2025-08-02,3
PO000484,SUP010,COMP031,14660,2025-11-25,21
PO000485,SUP007,COMP011,10251,2025-02-08,11
PO000486,SUP006,COMP038,8475,2025-08-19,10
PO000487,SUP007,COMP025,763,2025-10-20,20
PO000488,SUP006,COMP038,2381,2025-11-07,20
PO000489,SUP002,COMP029,12810,2025-06-02,18
PO000490,SUP004,COMP025,7640,2025-07-06,9
PO000491,SUP010,COMP029,11076,2025-09-28,19
PO000492,SUP006,COMP034,7879,2025-06-03,19
PO000493,SUP010,COMP023,11224,2025-07-05,17
PO000494,SUP002,COMP016,2355,2025-11-20,22
PO000495,SUP009,COMP017,4799,2025-05-16,22
PO000496,SUP007,COMP005,7629,2025-05-05,21
PO000497,SUP006,COMP012,6053,2025-09-03,11
PO000498,SUP008,COMP031,8419,2025-05-23,10
PO000499,SUP008,COMP011,1800,2025-03-14,10
PO000500,SUP009,COMP018,8941,2025-08-22,17
PO000501,SUP006,COMP025,13850,2025-02-07,22
PO000502,SUP002,COMP036,12885,2025-10-16,19
PO000503,SUP008,COMP022,6616,2025-09-10,21
PO000504,SUP009,COMP015,2578,2025-04-06,22
PO000505,SUP001,COMP002,1478,2025-06-15,21
PO000506,SUP001,COMP021,5196,2025-06-29,6
PO000507,SUP008,COMP015,6722,2025-06-14,20
PO000508,SUP006,COMP019,1031,2025-06-15,21
PO000509,SUP002,COMP037,4171,2025-05-22,12
PO000510,SUP003,COMP019,7196,2025-03-06,24
PO000511,SUP008,COMP007,2707,2025-04-07,22
PO000512,SUP004,COMP016,14972,2025-01-29,16
PO000513,SUP006,COMP016,3812,2025-07-10,9
PO000514,SUP006,COMP040,8238,2025-06-10,21
PO000515,SUP009,COMP002,9844,2025-07-22,8
